Date/Time,kWh del int,kVARh del int,kWh rec int,kVARh rec int,LP-KV_A,LP-KV_B,LP-KV_C,I a,I b,I c,LP_PF,Freq,LP_MW,LP_MVAR
23/09/2016 00:30,0,0,0,0,0,0,0,0,0,0,100, ,0,0
23/09/2016 01:00,0,0,0,0,0,0,0,0,0,0,100, ,0,0
23/09/2016 01:30,0,0,0,0,0,0,0,0,0,0,100, ,0,0
23/09/2016 02:00,0,0,0,0,0,0,0,0,0,0,100, ,0,0
23/09/2016 02:30,0,0,0,0,0,0,0,0,0,0,100, ,0,0
23/09/2016 03:00,0,0,0,0,0,0,0,0,0,0,100, ,0,0
23/09/2016 03:30,0,0,0,0,0,0,0,0,0,0,100, ,0,0
23/09/2016 04:00,0,0,0,0,0,0,0,0,0,0,100, ,0,0
23/09/2016 04:30,0,0,0,0,0,0,0,0,0,0,100, ,0,0
23/09/2016 05:00,0,0,0,0,0,0,0,0,0,0,100, ,0,0
23/09/2016 05:30,0,0,0,0,0,0,0,0,0,0,100, ,0,0
23/09/2016 06:00,0,0,0,0,0,0,0,0,0,0,100, ,0,0
23/09/2016 06:30,0,0,0,0,0,0,0,0,0,0,100, ,0,0
23/09/2016 07:00,0,0,0,0,0,0,0,0,0,0,100, ,0,0
23/09/2016 07:30,0,0,0,0,0,0,0,0,0,0,100, ,0,0
23/09/2016 08:00,0,0,0,0,0,0,0,0,0,0,100, ,0,0
23/09/2016 08:30,0,0,0,0,0,0,0,0,0,0,100, ,0,0
23/09/2016 09:00,0,0,0,0,0,0,0,0,0,0,100, ,0,0
23/09/2016 09:30,0,0,0,0,0,0,0,0,0,0,100, ,0,0
23/09/2016 10:00,0,0,0,0,0,0,0,0,0,0,100, ,0,0
23/09/2016 10:30,0,0,0,0,0,0,0,0,0,0,100, ,0,0
23/09/2016 11:00,0,0,0,0,0,0,0,0,0,0,100, ,0,0
23/09/2016 11:30,0,0,0,0,0,0,0,0,0,0,100, ,0,0
23/09/2016 12:00,0,0,0,0,0,0,0,0,0,0,100, ,0,0
23/09/2016 12:30,0,0,0,0,0,0,0,0,0,0,100, ,0,0
23/09/2016 13:00,0,0,0,0,0,0,0,0,0,0,100, ,0,0
23/09/2016 13:30,0,0,0,0,0,0,0,0,0,0,100, ,0,0
23/09/2016 14:00,0,0,0,0,0,0,0,0,0,0,100, ,0,0
23/09/2016 14:30,0,0,0,0,0,0,0,0,0,0,100, ,0,0
23/09/2016 15:00,0,0,0,0,0,0,0,0,0,0,100, ,0,0
23/09/2016 15:30,0,0,0,0,0,0,0,0,0,0,100, ,0,0
23/09/2016 16:00,0,0,0,0,0,0,0,0,0,0,100, ,0,0
23/09/2016 16:30,0,0,0,0,0,0,0,0,0,0,100, ,0,0
23/09/2016 17:00,0,0,0,0,0,0,0,0,0,0,100, ,0,0
23/09/2016 17:30,0,0,0,0,0,0,0,0,0,0,100, ,0,0
23/09/2016 18:00,5125.445313,1383.678589,0.294519,12.194869,6025.27002,6002.886719,5983.796387,1261.946045,1312.364502,1304.251953,-97.59819,50.16037,13118.66602,2928.255371
23/09/2016 18:30,6568.046387,1420.1073,0,0.264903,6025.325195,6003.614746,5982.730469,1267.573975,1318.082031,1311.981689,-97.444084,50.013901,13162.56348,3034.452148
23/09/2016 19:00,6570.345703,1517.098022,0,0,6021.772461,5998.052734,5979.812988,1266.328369,1318.112915,1309.577148,-97.240379,50.067215,13113.85059,3146.342041
23/09/2016 19:30,6567.933594,1505.30249,0,0,6015.844727,5991.096191,5975.423828,1266.08252,1319.14856,1307.45813,-97.625648,50.03661,13148.64453,2917.500244
23/09/2016 20:00,6569.183594,1474.349731,0,0,6022.555176,5998.041992,5984.233398,1269.648193,1322.053223,1309.131104,-97.348518,49.979172,13155.35254,3091.25
23/09/2016 20:30,6566.363281,1448.717285,0,0.25487,6023.354004,5999.561523,5985.779785,1265.035522,1317.041626,1304.023193,-97.392799,49.9058,13114.38184,3054.737549
23/09/2016 21:00,5500.189941,1226.145386,0,0.054948,0,0,0,0,0,0,100, ,0,0
23/09/2016 21:30,0,0,0,0,0,0,0,0,0,0,100, ,0,0
23/09/2016 22:00,0,0,0,0,0,0,0,0,0,0,100, ,0,0
23/09/2016 22:30,0,0,0,0,0,0,0,0,0,0,100, ,0,0
23/09/2016 23:00,0,0,0,0,0,0,0,0,0,0,100, ,0,0
23/09/2016 23:30,0,0,0,0,0,0,0,0,0,0,100, ,0,0
24/09/2016 00:00,0,0,0,0,0,0,0,0,0,0,100, ,0,0
,,,,,,,,,,,,,,
,43467.50781,,,,,,,,,,,,,
