Date/Time,kWh del int,kWh rec int,kVARh del int,kVARh rec int,Vln a,Vln b,Vln c,I a,I b,I c,PF sign tot,Freq,kW tot,kVAR tot
01/03/2015 10:30:00.000,6057.446777,0.000000,933.811157,0.000000,12012.100586,12208.508789,11910.970703,332.299866,339.465393,344.599945,-98.844849,49.889900,12095.457031,1854.575195
01/03/2015 11:00:00.000,6067.896973,0.000000,938.947754,0.000000,12014.083984,12210.206055,11913.403320,332.876343,339.584900,344.635864,-98.876869,49.893318,12110.059570,1830.456787
01/03/2015 11:30:00.000,6059.853516,0.000000,960.836426,0.000000,11986.210938,12187.340820,11898.535156,334.384277,340.860138,345.915588,-98.664108,49.886295,12110.263672,1999.586060
01/03/2015 12:00:00.000,6059.434082,0.000000,955.117981,0.000000,11999.680664,12203.533203,11910.190430,333.779968,340.286896,345.600006,-98.855202,49.945763,12129.904297,1851.361450
01/03/2015 12:30:00.000,6068.816406,0.000000,934.620850,0.000000,12001.459961,12203.618164,11903.393555,334.251343,341.391418,346.191559,-98.821449,49.922703,12149.949219,1882.043457
01/03/2015 13:00:00.000,6064.427734,0.000000,947.472229,0.000000,11999.938477,12201.344727,11912.421875,333.013245,339.988708,344.687988,-98.818832,49.827156,12102.187500,1876.758301
01/03/2015 13:30:00.000,6057.156250,0.000000,975.717712,0.000000,11985.130859,12182.630859,11886.041992,334.860138,341.317505,346.691132,-98.597336,49.811302,12116.076172,2050.972412
01/03/2015 14:00:00.000,6054.118164,0.000000,1203.663208,0.000000,12041.470703,12251.333984,11954.906250,335.633484,342.209045,347.471741,-97.780373,49.853985,12109.192383,2594.747070
01/03/2015 14:30:00.000,6067.147461,0.000000,792.583679,0.000000,11982.932617,12168.395508,11874.447266,333.265869,340.149811,344.257996,-99.343025,49.822491,12136.356445,1398.057617
01/03/2015 15:00:00.000,6061.989258,0.000000,702.463440,0.000000,11980.630859,12168.689453,11867.914063,331.328522,338.352081,343.338989,-99.294395,49.816643,12072.111328,1441.738159
01/03/2015 15:30:00.000,6026.922363,0.000000,950.213135,0.000000,12022.978516,12219.400391,11927.774414,332.647522,338.933960,344.751282,-98.345551,49.803108,12046.907227,2219.006592
01/03/2015 16:00:00.000,6034.119141,0.000000,1163.321655,0.000000,11979.334961,12187.248047,11890.242188,335.310944,340.982269,347.110687,-98.116264,50.080002,12064.072266,2375.325439
01/03/2015 16:30:00.000,6021.147949,0.000000,1267.575928,0.000000,11962.044922,12181.183594,11883.766602,336.281525,340.748108,348.333496,-97.731064,49.894341,12029.470703,2607.126709
01/03/2015 17:00:00.000,6022.184570,0.000000,1164.249756,0.000000,12075.538086,12280.199219,11984.770508,330.106110,335.108795,342.872650,-98.692627,50.047184,12045.392578,1967.103882
01/03/2015 17:30:00.000,6015.256348,0.000000,1017.217529,0.000000,12040.166992,12247.996094,11986.770508,331.783936,334.494019,343.206146,-98.368683,50.016464,12000.771484,2194.612061
01/03/2015 18:00:00.000,5986.963867,0.000000,1179.759644,0.000000,11978.502930,12203.719727,11941.278320,334.210602,335.565216,344.944672,-97.842361,50.062691,11947.720703,2522.942383
01/03/2015 18:30:00.000,5965.992676,0.000000,1182.978882,0.000000,12019.397461,12247.031250,12014.597656,329.688049,327.955780,339.048370,-99.235786,50.033413,11954.193359,1486.426392
01/03/2015 19:00:00.000,5969.788574,0.000000,806.551697,0.000000,12003.437500,12237.509766,11988.363281,329.491425,328.803040,340.297058,-99.118752,50.035919,11945.215820,1596.407959
01/03/2015 19:30:00.000,5960.731934,0.000000,710.262512,0.000000,12044.444336,12269.389648,12025.390625,326.478943,325.840088,336.796204,-99.427612,49.900242,11905.058594,1279.267456
01/03/2015 20:00:00.000,5957.833496,0.000000,638.490234,0.000000,12123.520508,12351.301758,12105.065430,326.239594,326.358246,336.887115,-98.489449,49.963535,11875.533203,2087.854248
01/03/2015 20:30:00.000,5956.538086,0.000000,921.941650,0.000000,12163.332031,12380.992188,12118.915039,323.914246,326.522644,336.136414,-98.884438,49.914505,11915.400391,1794.852539
01/03/2015 21:00:00.000,5973.287109,0.000000,810.138245,0.000000,12190.839844,12402.101563,12135.435547,322.814270,325.720856,335.085510,-99.105095,50.018501,11926.976563,1606.438721
01/03/2015 21:30:00.000,5967.618164,0.000000,903.045105,0.000000,12136.627930,12348.314453,12074.750977,325.557220,330.000519,338.599640,-98.561234,49.996929,11933.641602,2046.488892
01/03/2015 22:00:00.000,5967.310547,0.000000,1038.031982,0.000000,12174.659180,12380.728516,12095.997070,323.847687,329.436890,337.182434,-98.774254,49.987007,11946.027344,1887.817383
01/03/2015 22:30:00.000,5974.272461,0.000000,991.686768,0.000000,12164.702148,12361.037109,12086.913086,324.994568,330.912598,337.633667,-98.633232,49.953228,11953.847656,1996.904541
01/03/2015 23:00:00.000,5972.029785,0.000000,931.473938,0.000000,12200.643555,12390.642578,12108.791016,322.465881,329.303436,335.560944,-99.002777,50.023026,11952.244141,1700.702393
01/03/2015 23:30:00.000,5978.767090,0.000000,867.770508,0.000000,12109.494141,12302.848633,12015.174805,326.137024,334.368896,339.845306,-97.871902,50.053795,11882.453125,2491.355469
02/03/2015 00:00:00.000,5954.529297,0.000000,1209.402954,0.000000,12135.194336,12326.014648,12025.010742,325.936981,335.101257,340.077362,-98.126785,49.946304,11941.662109,2344.459473
02/03/2015 00:30:00.000,5974.750977,0.000000,1177.042236,0.000000,12132.266602,12322.997070,12023.965820,326.248718,335.303772,340.186462,-98.127869,49.997635,11946.937500,2344.793945
02/03/2015 01:00:00.000,5979.269043,0.000000,1157.479858,0.000000,12132.273438,12320.867188,12026.720703,326.352417,335.416809,340.243927,-98.157043,50.014896,11954.087891,2327.328613
02/03/2015 01:30:00.000,5991.666016,0.000000,1132.591309,0.000000,12148.744141,12333.973633,12030.848633,326.267517,336.197174,340.458740,-98.329453,50.057575,11996.681641,2220.754883
02/03/2015 02:00:00.000,5995.252930,0.000000,1111.018188,0.000000,12153.421875,12334.636719,12030.186523,325.801971,335.870392,339.828217,-98.331573,50.093052,11981.324219,2216.468750
02/03/2015 02:30:00.000,5993.578125,0.000000,1097.271729,0.000000,12157.312500,12340.695313,12038.045898,325.467834,335.544464,339.584015,-98.428658,50.163788,11988.252930,2150.661621
02/03/2015 03:00:00.000,6002.582031,0.000000,1096.425659,0.000000,12160.095703,12337.305664,12024.529297,326.306274,337.547272,340.877228,-98.422333,50.120953,12031.789063,2162.916504
02/03/2015 03:30:00.000,6006.282715,0.000000,1102.507080,0.000000,12157.410156,12330.629883,12021.642578,326.160431,337.485779,340.651978,-98.349640,50.092503,12013.456055,2210.038574
02/03/2015 04:00:00.000,6003.578613,0.000000,1116.556519,0.000000,12149.192383,12329.128906,12023.606445,326.359802,336.673645,340.561584,-98.242294,50.005375,11990.111328,2278.219238
02/03/2015 04:30:00.000,6006.448242,0.000000,1183.348145,0.000000,12122.420898,12308.207031,12009.100586,329.310028,338.913147,343.339935,-97.920319,49.886463,12025.689453,2491.613770
02/03/2015 05:00:00.000,6015.819336,0.000000,1334.851318,0.000000,12078.061523,12276.536133,11984.293945,332.238312,340.434357,345.561676,-97.366150,49.921165,12003.347656,2810.776611
02/03/2015 05:30:00.000,5998.497070,0.000000,1546.136841,0.000000,12016.058594,12222.671875,11941.278320,337.244324,344.315582,349.335663,-96.478424,49.878525,11989.638672,3268.900391
02/03/2015 06:00:00.000,6000.133789,0.000000,1552.080811,0.000000,12050.459961,12262.849609,11965.219727,334.023529,341.663971,347.311707,-97.115479,50.079288,12009.331055,2948.679688
02/03/2015 06:30:00.000,6008.085938,0.000000,1409.297241,0.000000,12075.763672,12277.610352,11970.139648,332.051086,340.899445,345.576385,-97.436333,49.979153,12011.113281,2773.363037
02/03/2015 07:00:00.000,6007.511230,0.000000,1271.009766,0.000000,12117.455078,12305.897461,11997.843750,329.129181,339.105225,343.315521,-97.858795,49.949909,12012.782227,2526.679688
02/03/2015 07:30:00.000,6007.326172,0.000000,1258.731689,0.000000,12101.816406,12289.837891,11982.556641,331.134430,340.630646,344.520355,-97.716103,50.066795,12035.995117,2617.432861
02/03/2015 08:00:00.000,6013.968750,0.000000,1335.326172,0.000000,12095.828125,12286.839844,11976.459961,331.774841,341.154083,345.096313,-97.584000,49.981628,12035.281250,2694.649658
02/03/2015 08:30:00.000,6004.923828,0.000000,1493.962769,0.000000,12011.887695,12240.494141,11940.725586,335.794617,342.848816,350.860107,-96.757675,50.042374,12013.306641,3135.966797
02/03/2015 09:00:00.000,5998.951172,0.000000,1598.524902,0.000000,12000.206055,12228.957031,11929.312500,336.482727,343.329712,351.262878,-96.549225,49.990417,11994.261719,3235.330566
02/03/2015 09:30:00.000,6012.547363,0.000000,1441.301270,0.000000,11922.116211,12148.952148,11828.167969,333.980621,340.828064,349.060120,-98.330620,49.908661,12042.887695,2228.506348
02/03/2015 10:00:00.000,6034.109375,0.000000,828.375183,0.000000,12003.684570,12210.207031,11894.100586,328.579590,336.504150,343.886444,-99.326149,49.916626,12057.493164,1406.882690
02/03/2015 10:30:00.000,6028.772461,0.000000,733.768127,0.000000,11973.666992,12185.335938,11873.603516,330.493225,337.692017,345.475830,-99.123062,49.877647,12063.615234,1608.229004
02/03/2015 11:00:00.000,6026.426758,0.000000,788.558105,0.000000,11970.729492,12186.863281,11868.228516,330.604065,337.663544,345.539368,-99.087173,49.913052,12058.561523,1640.563843
02/03/2015 11:30:00.000,6025.459961,0.000000,838.725403,0.000000,11967.646484,12182.286133,11864.200195,330.456818,337.708710,345.628815,-99.071762,49.937866,12052.498047,1653.717041
02/03/2015 12:00:00.000,6019.930176,0.000000,783.535645,0.000000,11944.695313,12150.424805,11828.365234,328.971558,336.792542,344.372192,-99.659546,49.914936,12049.984375,996.880127
02/03/2015 12:30:00.000,6030.798340,0.000000,478.090515,0.000000,11949.908203,12162.859375,11829.900391,329.446655,337.428345,345.534332,-99.685364,49.851639,12086.562500,961.057617
02/03/2015 13:00:00.000,6035.084473,0.000000,635.208862,21.151947,12160.682617,12343.002930,12037.003906,328.842560,338.942657,342.751404,-97.912727,49.981602,12046.143555,2500.549561
02/03/2015 13:30:00.000,6012.321289,0.000000,1368.564819,0.000000,12132.142578,12304.342773,12008.372070,330.838867,340.459198,343.605591,-97.435242,49.926582,12007.621094,2773.169434
02/03/2015 14:00:00.000,5980.234863,0.000000,1249.172852,0.000000,12053.915039,12208.292969,11909.697266,324.339050,333.795074,336.621887,-99.149315,49.939762,11886.748047,1560.438965
02/03/2015 14:30:00.000,5946.744629,0.000000,766.155273,0.000000,12070.248047,12225.724609,11916.050781,323.036255,332.739349,335.682312,-99.244041,49.865707,11871.684570,1468.082886
02/03/2015 15:00:00.000,5927.801758,0.000000,748.969421,0.000000,12058.708008,12220.672852,11909.627930,322.366302,332.717987,336.006195,-99.170784,49.904758,11851.146484,1535.759766
02/03/2015 15:30:00.000,5922.611816,0.000000,770.136353,0.000000,12042.692383,12226.435547,11919.526367,323.614532,331.654541,336.083313,-99.097389,49.817848,11846.171875,1602.505859
02/03/2015 16:00:00.000,5945.015137,0.000000,801.227234,0.000000,12047.853516,12234.324219,11926.475586,323.412140,330.647003,336.228638,-99.125168,49.884342,11843.251953,1576.932495
02/03/2015 16:30:00.000,5895.036133,0.000000,986.346619,0.000000,12093.312500,12294.471680,11997.814453,324.272949,331.107849,337.118622,-97.817894,49.930599,11770.521484,2500.046387
02/03/2015 17:00:00.000,5868.146973,0.000000,1157.007813,0.000000,12136.810547,12325.328125,12044.895508,321.438171,327.106262,332.588470,-98.387955,50.027733,11742.703125,2134.384521
02/03/2015 17:30:00.000,5865.508789,0.000000,1298.748535,0.000000,12045.718750,12250.791016,11980.613281,325.957916,331.383759,338.861115,-97.335915,49.968491,11719.941406,2760.766602
02/03/2015 18:00:00.000,5869.085938,0.000000,1431.918701,0.000000,11999.079102,12222.824219,11960.540039,329.673157,332.794189,341.803040,-96.855782,50.094601,11724.593750,3011.639160
02/03/2015 18:30:00.000,5870.993652,0.000000,1584.237061,0.000000,11966.096680,12201.755859,11942.257813,333.887634,335.984039,345.541443,-96.494629,50.021557,11785.865234,3205.535645
02/03/2015 19:00:00.000,5896.724609,0.000000,1354.759155,0.000000,12065.011719,12290.023438,12028.773438,327.887665,329.916138,339.381409,-98.021255,50.083607,11846.581055,2392.343262
02/03/2015 19:30:00.000,5924.621094,0.000000,1175.880981,0.000000,12074.985352,12299.918945,12033.809570,327.788635,330.159973,339.570068,-98.149582,50.126232,11874.530273,2316.645996
02/03/2015 20:00:00.000,5937.013184,0.000000,1096.775879,0.000000,12112.459961,12325.170898,12050.611328,326.164368,330.183014,338.601563,-98.526001,50.050117,11915.504883,2068.804199
02/03/2015 20:30:00.000,5953.925781,0.000000,982.064819,0.000000,12151.895508,12359.672852,12072.552734,323.566528,328.754700,336.822266,-98.888313,50.064171,11920.962891,1792.510498
02/03/2015 21:00:00.000,5980.053711,0.000000,879.222534,0.000000,12158.401367,12352.952148,12055.906250,324.400940,331.367950,338.099762,-98.909859,50.023800,11974.716797,1782.768555
02/03/2015 21:30:00.000,5986.843262,0.000000,798.527039,0.000000,12207.741211,12393.836914,12088.148438,321.353241,329.615601,335.692780,-99.286598,49.992786,11973.325195,1437.904175
02/03/2015 22:00:00.000,5984.773438,0.000000,1127.106201,0.000000,12126.657227,12312.773438,12001.201172,326.378784,335.218140,340.685333,-98.423454,50.016064,11975.066406,2151.934570
02/03/2015 22:30:00.000,5994.264648,0.000000,1026.516602,0.000000,12159.796875,12337.924805,12024.689453,324.744507,334.668762,339.046631,-98.741325,49.921181,11995.068359,1921.339111
02/03/2015 23:00:00.000,6000.014648,0.000000,964.231445,0.000000,12167.350586,12337.327148,12030.957031,324.660248,334.570404,338.394165,-98.806213,49.990730,11997.400391,1870.599365
02/03/2015 23:30:00.000,6002.161133,0.000000,960.399353,0.000000,12190.543945,12354.187500,12046.813477,324.330200,335.042816,338.309723,-98.747879,50.008156,12009.261719,1918.502563
03/03/2015 00:00:00.000,6009.775391,0.000000,935.146118,0.000000,12220.670898,12380.144531,12091.921875,324.999878,334.089081,337.056183,-98.875671,50.035305,12040.615234,1820.945801
03/03/2015 00:30:00.000,6013.056641,0.000000,920.871765,0.000000,12224.890625,12377.820313,12085.761719,324.410156,334.508270,336.835754,-98.832756,49.946671,12029.076172,1854.197510
03/03/2015 01:00:00.000,6003.222168,0.000000,1113.236328,0.000000,12120.077148,12269.029297,11974.227539,328.609863,339.841675,341.177399,-98.140900,49.995609,12003.357422,2347.423096
03/03/2015 01:30:00.000,6004.380859,0.000000,1160.737305,0.000000,12124.735352,12274.809570,11975.532227,328.764709,340.149292,341.354706,-98.203583,49.943401,12022.462891,2310.074219
03/03/2015 02:00:00.000,6010.730957,0.000000,1150.676025,0.000000,12132.474609,12275.357422,11976.085938,327.627808,339.630188,340.269043,-98.213303,49.941189,11993.534180,2298.097656
03/03/2015 02:30:00.000,6006.007813,0.000000,1152.884521,0.000000,12126.875000,12268.752930,11966.690430,328.458771,340.799957,341.185791,-98.180542,49.903370,12016.857422,2324.166992
03/03/2015 03:00:00.000,6009.765625,0.000000,1151.235840,0.000000,12130.285156,12277.062500,11969.989258,328.230072,340.630463,341.238068,-98.239151,49.913692,12024.777344,2286.905762
03/03/2015 03:30:00.000,6020.376953,0.000000,1133.620850,0.000000,12129.688477,12274.357422,11966.526367,329.093811,341.531952,342.027100,-98.268196,49.921509,12056.259766,2273.395508
03/03/2015 04:00:00.000,6016.151855,0.000000,1138.441650,0.000000,12128.028320,12281.291992,11981.597656,328.831238,339.992310,341.374969,-98.264252,49.870129,12034.322266,2271.915283
03/03/2015 04:30:00.000,6017.721191,0.000000,1181.860962,0.000000,12104.031250,12257.825195,11963.957031,330.634003,341.475922,342.973236,-97.948112,49.900612,12032.351563,2475.750244
03/03/2015 05:00:00.000,6021.936035,0.000000,1280.010986,0.000000,12075.898438,12235.067383,11948.417969,332.530029,342.538940,344.783386,-97.571121,49.903687,12020.742188,2698.823242
03/03/2015 05:30:00.000,6016.701660,0.000000,1411.250610,0.000000,12038.968750,12209.997070,11924.163086,335.133636,344.541779,346.855621,-97.151848,49.831108,12018.884766,2931.536865
03/03/2015 06:00:00.000,6020.584961,0.000000,1401.440430,0.000000,12025.397461,12184.190430,11885.235352,333.186646,343.425873,345.063690,-98.058342,49.972519,12047.248047,2409.272949
03/03/2015 06:30:00.000,6025.286621,0.000000,1169.467896,0.000000,12053.593750,12204.984375,11899.000000,331.265930,342.631622,343.533722,-98.353470,49.933861,12054.484375,2214.950928
03/03/2015 07:00:00.000,6027.499023,0.000000,1004.963623,0.000000,12093.444336,12246.277344,11928.552734,327.163788,339.563507,340.676422,-98.773491,50.017353,12023.416992,1900.652344
03/03/2015 07:30:00.000,6019.203125,0.000000,983.264343,0.000000,12080.295898,12234.769531,11922.755859,328.393463,340.268524,341.191406,-98.653336,49.909073,12028.075195,1994.170410
03/03/2015 08:00:00.000,6015.295898,0.000000,1012.817627,0.000000,12068.449219,12228.937500,11914.288086,329.554230,340.815155,341.969696,-98.566803,50.110256,12038.339844,2060.357910
03/03/2015 08:30:00.000,6014.574219,0.000000,1059.167480,0.000000,12079.401367,12227.543945,11924.357422,328.276794,340.105682,339.892822,-98.647690,50.019947,12006.448242,1994.837158
03/03/2015 09:00:00.000,6008.840820,0.000000,1007.642273,0.000000,12067.565430,12214.364258,11912.972656,329.105377,341.188354,340.518799,-98.541550,50.094845,12011.591797,2074.210693
03/03/2015 09:30:00.000,6011.340332,0.000000,1019.813477,0.000000,12069.853516,12214.580078,11918.294922,329.613037,341.361298,340.446930,-98.575661,50.076584,12025.691406,2051.682861
03/03/2015 10:00:00.000,6037.072266,0.000000,1021.501526,0.000000,12063.834961,12209.098633,11912.057617,331.399902,343.196228,342.141541,-98.529358,50.067940,12077.222656,2094.437988
03/03/2015 10:30:00.000,6035.939453,0.000000,1030.678955,0.000000,12065.146484,12214.992188,11918.969727,331.443146,342.514221,342.114502,-98.587540,50.065536,12081.372070,2052.381836
03/03/2015 11:00:00.000,6036.264160,0.000000,1047.965454,0.000000,12057.512695,12207.753906,11911.420898,331.669861,342.631500,342.302612,-98.532120,50.036797,12073.267578,2091.740479
03/03/2015 11:30:00.000,6038.953613,0.000000,1118.071899,0.000000,12075.119141,12247.277344,11967.225586,333.283264,341.992920,343.598724,-98.092751,50.036701,12085.125977,2394.704102
03/03/2015 12:00:00.000,6035.115234,0.000000,1249.310913,0.000000,12071.919922,12251.584961,11945.429688,330.967865,341.537964,343.743896,-98.075935,50.119034,12043.531250,2397.269043
03/03/2015 12:30:00.000,6032.598633,0.000000,1176.072754,0.000000,12069.837891,12254.530273,11946.008789,331.280792,341.892944,344.226227,-98.084267,50.006134,12058.806641,2394.955078
03/03/2015 13:00:00.000,6035.162109,0.000000,1226.685059,0.000000,12047.449219,12231.365234,11924.271484,333.900787,344.417053,346.324921,-97.877480,50.063293,12096.285156,2532.756348
03/03/2015 13:30:00.000,6066.432129,0.000000,1333.896851,0.000000,12030.907227,12203.917969,11903.905273,336.558899,347.729553,349.010315,-97.575867,49.988319,12139.246094,2722.666504
03/03/2015 14:00:00.000,6073.185059,0.000000,1344.006958,0.000000,12033.384766,12206.893555,11906.511719,336.340698,347.327362,348.458710,-97.636200,50.083832,12135.623047,2686.517090
03/03/2015 14:30:00.000,6081.388184,0.000000,1309.464600,0.000000,12051.039063,12214.252930,11916.033203,336.591888,347.748688,347.957184,-97.863434,50.016331,12177.068359,2558.369629
03/03/2015 15:00:00.000,6097.093262,0.000000,1130.540039,0.000000,12208.738281,12336.304688,12010.467773,327.462189,341.613892,338.901428,-99.287613,50.015766,12187.066406,1462.524536
03/03/2015 15:30:00.000,6080.187500,0.000000,1200.254395,0.000000,12071.765625,12215.336914,11921.287109,335.496796,347.516052,346.614441,-97.726440,49.721027,12138.814453,2633.598877
03/03/2015 16:00:00.000,6075.983887,0.000000,1401.858032,0.000000,12032.020508,12168.763672,11879.101563,339.124207,351.852570,349.598846,-97.150398,49.867142,12151.794922,2964.741211
03/03/2015 16:30:00.000,6080.935059,0.000000,1537.519653,0.000000,11983.311523,12147.032227,11829.160156,341.077759,353.748901,355.728912,-96.372871,49.878746,12129.464844,3358.994385
03/03/2015 17:00:00.000,6065.465820,0.000000,1387.444702,0.000000,11876.102539,11998.125000,11658.510742,335.539490,349.479828,349.218170,-99.364426,49.917137,12164.160156,1378.025757
03/03/2015 17:30:00.000,6087.975098,0.000000,486.268890,0.000000,11909.970703,12072.909180,11725.142578,333.952972,344.856506,347.809143,-99.704926,49.846478,12176.111328,937.455322
03/03/2015 18:00:00.000,6083.882813,0.000000,517.816650,0.000000,11966.917969,12134.654297,11826.797852,333.300446,340.013336,345.354218,-99.973434,49.938416,12189.471680,281.009460
03/03/2015 18:30:00.000,6091.041504,0.000000,218.351044,0.000000,11955.020508,12110.449219,11811.716797,332.596191,340.329559,344.493439,-99.930832,49.820709,12151.501953,452.202148
03/03/2015 19:00:00.000,6093.467773,0.000000,217.766205,0.000000,11959.026367,12107.696289,11792.544922,333.372864,342.877655,346.085815,-99.912483,49.885529,12201.569336,510.809235
03/03/2015 19:30:00.000,6095.103516,0.000000,300.714417,0.000000,12041.041016,12204.217773,11891.345703,331.411285,340.554321,344.516724,-99.688293,49.831696,12198.578125,965.414795
03/03/2015 20:00:00.000,6100.113770,0.000000,457.385803,0.000000,12062.086914,12214.866211,11895.883789,330.288391,340.253662,343.454010,-99.763123,49.915741,12190.130859,840.537781
03/03/2015 20:30:00.000,6101.917969,0.000000,375.529297,0.000000,12090.049805,12228.526367,11899.764648,329.481720,340.895294,342.781769,-99.844559,50.081154,12205.057617,681.309143
03/03/2015 21:00:00.000,6105.854492,0.000000,514.534424,0.000000,12172.588867,12305.089844,11978.046875,327.822968,340.470612,341.244263,-99.535332,49.913742,12202.966797,1180.511719
03/03/2015 21:30:00.000,6117.643066,0.000000,602.629578,0.000000,12172.248047,12302.523438,11973.808594,328.706268,341.901459,342.251007,-99.529274,50.054764,12240.107422,1191.851196
03/03/2015 22:00:00.000,6081.779785,0.000000,823.202576,0.000000,12246.547852,12382.815430,12061.074219,325.450958,339.124023,339.725769,-98.683418,49.927151,12112.665039,1985.181641
03/03/2015 22:30:00.000,6015.630859,0.000000,1234.251587,0.000000,12106.523438,12246.257813,11924.520508,328.821533,342.649933,343.126190,-98.056557,50.138912,12021.872070,2405.335449
03/03/2015 23:00:00.000,6015.226074,0.000000,1145.138916,0.000000,12133.665039,12269.988281,11944.849609,327.147522,341.600464,341.606140,-98.376183,50.213295,12033.617188,2195.430908
03/03/2015 23:30:00.000,6009.905762,0.000000,1123.062500,0.000000,12113.644531,12244.262695,11925.918945,327.870331,342.409882,341.971863,-98.128235,50.073067,12004.521484,2355.861816
04/03/2015 00:00:00.000,6006.686523,0.000000,1143.869629,0.000000,12129.820313,12254.207031,11931.083984,326.940002,341.953400,340.830841,-98.300262,50.394627,12005.217773,2242.168945
04/03/2015 00:30:00.000,6014.343750,0.000000,1120.373047,0.000000,12141.010742,12268.940430,11945.686523,326.814514,341.851440,340.724396,-98.420937,49.783600,12029.792969,2163.536133
04/03/2015 01:00:00.000,6018.712891,0.000000,1139.830811,0.000000,12168.883789,12296.787109,11972.959961,326.580994,341.752258,340.595306,-98.219238,50.031223,12026.926758,2300.562988
04/03/2015 01:30:00.000,6012.127930,0.000000,1155.671753,0.000000,12167.177734,12294.253906,11970.013672,326.584473,341.915680,340.562103,-98.173515,50.172318,12020.410156,2329.465088
04/03/2015 02:00:00.000,6015.812500,0.000000,1134.185425,0.000000,12177.328125,12309.737305,11991.031250,326.639343,341.209747,340.314392,-98.347626,49.930374,12047.068359,2217.611572
