Date/Time,kWh del int,kVARh del int,kWh rec int,kVARh rec int,LP-kV_A,LP-kV_B,LP-kV_C,I a,I b,I c,LP_PF,Freq,LP_MW,LP_MVAR
22/09/2016 00:30,1657.01123,0,0,83.794891,3527.992188,3511.482666,3534.543213,322.029999,312.575256,313.638458,99.86219,50.040764,3309.01709,-173.902176
22/09/2016 01:00,1656.611816,0,0,91.145187,3527.567627,3512.355713,3534.680664,323.180817,313.635498,315.087097,99.841476,49.930393,3321.02417,-187.219284
22/09/2016 01:30,1657.953125,0,0,92.512665,3529.497803,3515.059082,3536.804688,322.687958,313.238831,314.9151,99.840179,50.002941,3319.603271,-187.903625
22/09/2016 02:00,1657.490845,0,0,93.682686,3530.052979,3515.723633,3537.773682,321.680542,312.214294,313.821747,99.841095,50.034122,3309.415771,-186.789307
22/09/2016 02:30,1656.944946,0,0,93.215034,3537.299316,3523.956055,3545.417236,321.236572,311.787018,313.658508,99.852013,50.110344,3313.546387,-180.467804
22/09/2016 03:00,1657.192993,0,0,94.032143,3540.677979,3526.631348,3548.673096,321.473969,311.895081,313.707581,99.841408,50.113625,3317.606934,-187.067932
22/09/2016 03:30,1656.866577,0,0,94.178528,3534.706787,3520.186035,3542.078857,321.232727,311.856171,313.418823,99.851059,50.182693,3309.633545,-180.83548
22/09/2016 04:00,1658.027222,0,0,92.146339,3534.007324,3519.264404,3540.941162,321.648499,312.368622,313.807007,99.861809,50.164936,3313.774902,-174.393845
22/09/2016 04:30,1656.193237,0,0,88.913452,3519.521973,3503.480957,3525.578613,322.969299,313.754211,314.740936,99.858322,49.916664,3311.989014,-176.486984
22/09/2016 05:00,1656.272827,0,0,80.505646,3499.677734,3482.034424,3504.118896,325.09314,316.290314,316.560791,99.905975,50.029095,3315.334229,-143.870895
22/09/2016 05:30,1656.243408,0,0,73.84877,3465.818848,3446.663086,3469.663086,328.417053,319.487427,319.477142,99.873039,49.800583,3312.710693,-167.088409
22/09/2016 06:00,1657.094238,0,0,86.679054,3493.489258,3475.641113,3498.25708,325.983612,316.899384,317.317657,99.864731,50.170074,3315.272461,-172.611938
22/09/2016 06:30,1656.853638,0,0,92.152725,3497.23877,3480.13916,3502.508057,325.106659,316.135193,316.693451,99.829964,50.00808,3310.646484,-193.30925
22/09/2016 07:00,1657.359375,0,0,98.027802,3492.129639,3476.459229,3497.97168,326.346497,317.235046,318.39032,99.773102,49.876446,3318.279785,-223.916748
22/09/2016 07:30,1657.111084,0,0,90.163414,3477.385498,3462.787842,3483.121094,326.850403,318.090485,319.294678,99.877792,50.011578,3315.267822,-164.049911
22/09/2016 08:00,1656.811768,0,0,85.033203,3472.462402,3459.259277,3478.832275,327.381287,318.536041,320.29953,99.832954,49.743885,3316.786865,-191.954483
22/09/2016 08:30,1657.45105,0,0,77.053146,3460.495361,3446.633545,3468.024902,328.340485,318.989685,320.634003,99.894241,49.931812,3312.882568,-152.48378
22/09/2016 09:00,1343.180908,0,0,58.880783,3453.709961,3441.829834,3463.811768,328.692688,318.656799,321.274353,99.898979,50.084667,3309.580078,-148.873077
22/09/2016 09:30,1971.405273,0,0,90.688934,3452.015625,3439.483887,3462.13623,328.893097,318.745178,321.15567,99.880524,50.048241,3307.745361,-161.835281
22/09/2016 10:00,1343.518188,0,0,63.203289,3448.248779,3436.696045,3457.859619,330.540497,320.723114,323.348114,99.872017,49.949753,3323.616943,-168.316116
