Date/Time,kWh del int,kVARh del int,kWh rec int,kVARh rec int,LP-KV_A,LP-KV_B,LP-KV_C,I a,I b,I c,LP_PF,Freq,LP_MW,LP_MVAR
04/11/2016 00:30,18837.76172,3387.26709,0,0,13229,13016.31348,13392.06445,1650.654907,1612.013794,1661.504028,98.583466,49.968006,39063.70313,6645.908203
04/11/2016 01:00,19131.53125,3186.023926,0,0,12609,12461.36621,12836.78613,1581.442261,1543.518677,1592.957642,98.590881,49.981125,37421.89453,6349.541992
04/11/2016 01:30,19621.3125,3183.237549,0,0,13048,13234.36816,13607.50586,1675.692749,1639.102905,1688.505615,98.765625,49.907021,39749.29297,6304.029785
04/11/2016 02:00,19415.67383,2851.861084,0,0,12432,12405.62598,12779.35449,1572.369019,1536.574829,1585.858032,99.071877,50.038174,37421.74609,5134.305176
04/11/2016 02:30,17842.95898,2292.908447,0,0,11879,11642.04883,12021.92383,1477.905029,1442.091919,1491.969238,99.282867,50.065056,35239.16797,4243.123047
04/11/2016 03:00,17493.66797,2050.291992,0,0,11903,11537.19141,11923.85254,1464.582764,1428.924438,1479.609253,99.417732,50.045025,34980.65234,3791.477051
04/11/2016 03:30,18190.21484,1926.28125,0,0,13161,13171.98145,13556.5332,1666.73584,1631.439453,1682.355225,99.397728,49.879128,39825.91016,4390.827637
04/11/2016 04:00,19684.12109,2344.146729,0,0,13587,13300.79688,13682.48145,1686.126099,1647.620361,1697.764404,99.10434,49.930904,40121.41406,5406.239258
04/11/2016 04:30,19719.90625,3201.481689,0,0,13574,13211.30469,13583.60254,1678.898804,1636.441528,1685.003052,98.211571,49.886414,39512.46094,7574.816895
04/11/2016 05:00,19619.76563,4710.919434,0,0,13001,12786.22656,13154.51856,1645.199585,1599.243286,1647.119751,97.912292,49.92503,38173.39063,7924.92041
04/11/2016 05:30,23012.89258,5212.226074,0,0,19609,19450.00391,19800.86133,2446.666504,2407.838135,2455.908936,96.88707,50.041843,57027.70703,14571.79785
