Date/Time,kWh del int,kVARh del int,kWh rec int,kVARh rec int,LP-kV_A ,LP-kV_A,LP-kV_A,I a,I b,I c,LP_PF,Freq,LP_MW,LP_MVAR
04/11/2016 00:30,0,0,0,0,0,0,0,0,0,0, , ,0,0
04/11/2016 01:00,0,0,0,0,0,0,0,0,0,0, , ,0,0
04/11/2016 01:30,0,0,0,0,0,0,0,0,0,0, , ,0,0
04/11/2016 02:00,0,0,0,0,0,0,0,0,0,0, , ,0,0
04/11/2016 02:30,0,0,0,0,0,0,0,0,0,0, , ,0,0
04/11/2016 03:00,0,0,0,0,0,0,0,0,0,0, , ,0,0
04/11/2016 03:30,0,0,0,0,0,0,0,0,0,0, , ,0,0
04/11/2016 04:00,0,0,0,0,0,0,0,0,0,0, , ,0,0
04/11/2016 04:30,0,0,0,0,0,0,0,0,0,0, , ,0,0
04/11/2016 05:00,0,0,0,0,0,0,0,0,0,0, , ,0,0
04/11/2016 05:30,0,0,0,0,0,0,0,0,0,0, , ,0,0
04/11/2016 06:00,0,0,0,0,0,0,0,0,0,0, , ,0,0
04/11/2016 06:30,0,0,0,0,0,0,0,0,0,0, , ,0,0
04/11/2016 07:00,0,0,0,0,0,0,0,0,0,0, , ,0,0
04/11/2016 07:30,0,0,0,0,0,0,0,0,0,0, , ,0,0
04/11/2016 08:00,0,0,0,0,0,0,0,0,0,0, , ,0,0
04/11/2016 08:30,0,0,0,0,0,0,0,0,0,0, , ,0,0
04/11/2016 09:00,0,0,0,0,0,0,0,0,0,0, , ,0,0
04/11/2016 09:30,0,0,0,0,0,0,0,0,0,0, , ,0,0
04/11/2016 10:00,0,0,0,0,0,0,0,0,0,0, , ,0,0
04/11/2016 10:30,0,0,0,0,0,0,0,0,0,0, , ,0,0
04/11/2016 11:00,0,0,0,0,0,0,0,0,0,0, , ,0,0
04/11/2016 11:30,0,0,0,0,0,0,0,0,0,0, , ,0,0
04/11/2016 12:00,0,0,0,0,0,0,0,0,0,0, , ,0,0
04/11/2016 12:30,0,0,0,0,0,0,0,0,0,0, , ,0,0
04/11/2016 13:00,9439.847656,1147.419312,10266.45313,9.366542,10390.05566,10160.18262,10554.13086,1327.671143,1290.955078,1339.670288,99.206062,50.122574,30825.26953,3907.631836
04/11/2016 13:30,21619.30469,3047.487305,18979.97266,0,19289.35742,19188.9668,19559.62891,2437.481445,2411.15918,2458.273438,98.659912,49.961754,57224.86719,9463.813477
04/11/2016 14:00,25292.76758,3079.771973,11237.54981,0,11749.64063,11532.83203,11870.3877,1477.53064,1442.771118,1484.019531,96.183723,50.014545,33787.72266,9611.884766
04/11/2016 14:30,16707.23633,3219.285156,11577.76367,0,12111.41699,11899.67969,12222.90039,1516.636475,1482.705444,1521.792236,96.092621,49.996284,34798.12109,10023.96094
04/11/2016 15:00,17116.52539,3142.336182,11703.40234,0,12222.73926,11982.94922,12330.35156,1533.3479,1495.540771,1537.526001,96.293259,50.026657,35150.09375,9846.444336
04/11/2016 15:30,18312.75,3009.479492,11465.10547,0,11960.26856,11697.52734,12069.00879,1504.575195,1463.559326,1508.508057,96.404503,50.078327,34421.73047,9488.348633
04/11/2016 16:00,17538.1875,3147.029297,11433.8584,0,11974.24707,11692.93848,12071.27246,1502.724609,1459.412354,1504.892212,96.059158,50.053108,34308.85938,9927.858398
