Date/Time,kWh del int,kVARh del int,kWh rec int,kVARh rec int,KV_R,KV_S,KV_T,I a,I b,I c,PF,Freq,MW,MVAR
04/11/2016 01:00:00.000,0.000000,0.000000,13.947817,16.862223,0.223564,0.224361,0.223437,61.138664,68.948982,68.894089,0.651010,50.041553,-0.028740,-0.033510
04/11/2016 01:30:00.000,0.000000,0.000000,13.997077,16.963621,0.223373,0.224494,0.223540,63.429508,66.229820,67.196907,0.622353,50.003944,-0.027206,-0.034218
04/11/2016 02:00:00.000,0.000000,0.000000,13.833646,16.747299,0.222844,0.223730,0.222768,62.255093,67.995674,68.361229,0.635590,49.941505,-0.027947,-0.033946
04/11/2016 02:30:00.000,0.000000,0.000000,13.846352,16.908638,0.223064,0.223997,0.223088,61.882801,66.934143,67.166107,0.636391,49.945148,-0.027635,-0.033497
04/11/2016 03:00:00.000,0.000000,0.000000,13.787107,16.973215,0.224009,0.225019,0.224095,62.337223,66.929482,67.407776,0.632385,50.041840,-0.027677,-0.033904
04/11/2016 03:30:00.000,0.000000,0.000000,13.788918,17.124605,0.224563,0.225546,0.224605,62.987991,67.471130,67.939346,0.623429,50.094845,-0.027606,-0.034623
04/11/2016 04:00:00.000,0.000000,0.000000,13.804596,17.209723,0.225048,0.226139,0.225098,62.607044,65.809700,67.162430,0.615051,50.067364,-0.026909,-0.034497
04/11/2016 04:30:00.000,0.000000,0.000000,13.876517,17.401939,0.224570,0.225450,0.224535,62.295414,68.205254,68.207710,0.627630,49.889915,-0.027823,-0.034512
04/11/2016 05:00:00.000,0.000000,0.000000,13.818882,17.262091,0.223819,0.224769,0.223833,62.909336,66.751289,67.313492,0.618411,49.956635,-0.027102,-0.034440
04/11/2016 05:30:00.000,0.000000,0.000000,13.763221,16.911043,0.222852,0.223701,0.222833,62.384109,67.769516,67.687065,0.633981,49.928055,-0.027769,-0.033874
04/11/2016 06:00:00.000,0.000000,0.000000,13.689227,16.452736,0.220891,0.221771,0.220755,60.882256,66.171951,66.408073,0.647619,49.895340,-0.027482,-0.032334
04/11/2016 06:30:00.000,0.000000,0.000000,12.551205,16.027889,0.219981,0.220738,0.220216,58.708950,64.623558,58.629883,0.607935,50.021488,-0.024127,-0.031511
04/11/2016 07:00:00.000,0.000000,0.000000,12.037823,15.949517,0.220810,0.221724,0.221172,60.427967,64.227417,58.440891,0.582502,50.051998,-0.023374,-0.032617
04/11/2016 07:30:00.000,0.000000,0.000000,11.941190,16.207024,0.222894,0.223683,0.223192,60.432030,66.191055,60.198677,0.590122,49.990963,-0.024374,-0.033345
04/11/2016 08:00:00.000,0.000000,0.000000,12.200063,16.739632,0.222748,0.223526,0.222994,60.473404,66.337097,61.288536,0.597277,49.950283,-0.024807,-0.033312
04/11/2016 08:30:00.000,0.000000,0.000000,13.070790,16.696203,0.222277,0.222638,0.222390,59.514942,69.502686,62.559097,0.626108,49.889343,-0.026396,-0.032872
04/11/2016 09:00:00.000,0.000000,0.000000,13.070265,16.218439,0.221635,0.222010,0.221620,59.208179,69.451706,63.268623,0.629374,50.001831,-0.026504,-0.032725
04/11/2016 09:30:00.000,0.000000,0.000000,13.057572,16.024727,0.219607,0.220038,0.219648,58.119926,67.184624,60.991669,0.644963,50.017025,-0.026094,-0.030919
04/11/2016 10:00:00.000,0.000000,0.000000,13.286905,15.786714,0.220471,0.220751,0.220259,57.598061,69.692986,63.754822,0.657632,50.084591,-0.027348,-0.031328
