Date/Time,kWh del int,kVARh del int,kWh rec int,kVARh rec int,KV_R,KV_S,KV_T,I a,I b,I c,PF,Freq,MW,MVAR
30:00.0,0,0,15.578995,21.700344,0.220832,0.221729,0.220997,78.995514,82.646477,81.760468,0.578189,49.967117,-0.030977,-0.043713
00:00.0,0,0,15.545178,22.144211,0.220903,0.221792,0.221058,80.283188,83.613655,82.975525,0.571116,49.859749,-0.031048,-0.044625
30:00.0,0,0,15.491229,22.162075,0.221312,0.222161,0.221394,79.200699,83.891098,83.423874,0.580855,49.907398,-0.031576,-0.04425
00:00.0,0,0,15.524508,22.071022,0.220328,0.221135,0.220389,78.082718,82.307205,81.234909,0.579144,50.034412,-0.030723,-0.043248
30:00.0,0,0,15.55558,21.943314,0.220426,0.221326,0.220603,80.29744,83.593079,82.797913,0.571689,49.823288,-0.030989,-0.044474
00:00.0,0,0,15.461294,21.949568,0.220028,0.220868,0.220138,78.611809,83.218933,82.438538,0.587648,49.915798,-0.031467,-0.043326
30:00.0,0,0,15.391006,21.727186,0.219449,0.220337,0.219508,78.65641,82.656082,83.165726,0.57073,49.931931,-0.030513,-0.0439
00:00.0,0,0,15.296125,21.37545,0.219067,0.21999,0.219217,78.763176,81.852921,81.090157,0.58282,50.051418,-0.030759,-0.042885
30:00.0,0,0,15.306642,21.247297,0.218671,0.21961,0.218845,77.827393,80.563477,79.811951,0.584229,50.03595,-0.030331,-0.042134
00:00.0,0,0,15.327984,21.141983,0.217183,0.217982,0.217216,76.815689,81.830101,80.682487,0.601619,49.899559,-0.031152,-0.041361
30:00.0,0,0,15.231673,20.945988,0.218586,0.219456,0.218675,77.740852,80.72731,79.940727,0.585071,49.993908,-0.030387,-0.04212
00:00.0,0,0,14.04816,21.511395,0.219142,0.219974,0.219506,76.986008,80.400726,75.626488,0.539254,49.975697,-0.027433,-0.042842
30:00.0,0,0,13.832867,21.65295,0.219636,0.220443,0.220043,78.430244,81.970566,76.774834,0.534837,49.972721,-0.027761,-0.043858
00:00.0,0,0,13.939933,21.661753,0.218931,0.219547,0.219204,76.794258,82.768188,77.225807,0.554345,49.910011,-0.028612,-0.042958
30:00.0,0,0,14.124298,21.501984,0.217836,0.218498,0.218142,76.223877,80.373383,75.180901,0.551694,49.997345,-0.02774,-0.041937
