Date/Time,kWh del int,kVARh del int,kWh rec int,kVARh rec int,KV_R,KV_S,KV_T,I a,I b,I c,PF,Freq,MW,MVAR
15/03/2015 01:00,0,0,6.325897,5.385364,0.222396,0.221887,0.219909,19.383886,25.032681,33.877468,0.759002,49.966427,-0.012916,-0.01108
15/03/2015 01:30,0,0,6.250976,5.373322,0.221814,0.22115,0.219454,16.64032,24.815607,33.518364,0.756678,50.003109,-0.012297,-0.010625
15/03/2015 02:00,0,0,6.143041,5.322504,0.223018,0.222382,0.220465,17.589581,24.985317,33.614708,0.761661,50.261787,-0.012618,-0.010735
15/03/2015 02:30,0,0,6.224204,5.366596,0.223098,0.222457,0.220567,16.834398,23.37763,33.859085,0.754377,49.975784,-0.012172,-0.010591
15/03/2015 03:00,0,0,6.068001,5.262338,0.221008,0.220314,0.218574,17.617521,23.502491,33.335079,0.76824,49.981796,-0.012319,-0.010265
15/03/2015 03:30,0,0,6.154312,5.192821,0.222337,0.221533,0.219752,17.1565,23.435589,33.450581,0.763415,50.194366,-0.012248,-0.010362
15/03/2015 04:00,0,0,6.037511,5.220643,0.222512,0.221562,0.219859,17.54142,23.60288,33.699203,0.762112,49.893532,-0.012371,-0.010509
15/03/2015 04:30,0,0,6.225759,5.299412,0.222377,0.221356,0.219747,17.510281,23.645588,33.798141,0.760725,49.684082,-0.012366,-0.010551
15/03/2015 05:00,0,0,6.027783,5.189974,0.220712,0.219596,0.218351,17.243155,21.623165,33.180626,0.770008,49.967793,-0.011927,-0.009883
15/03/2015 05:30,0,0,6.060272,5.015247,0.21857,0.217148,0.216216,17.274481,16.667696,27.372044,0.786372,49.779968,-0.010242,-0.008046
15/03/2015 06:00,0,0.000001,2.894218,1.939801,0,0,0,0,0,0,-1, ,0,0
15/03/2015 06:30,0,0,0,0,0,0,0,0,0,0,-1, ,0,0
15/03/2015 07:00,0,0,0,0,0,0,0,0,0,0,-1, ,0,0
15/03/2015 07:30,0,0,0,0,0,0,0,0,0,0,-1, ,0,0
15/03/2015 08:00,0,0,0,0,0,0,0,0,0,0,-1, ,0,0
15/03/2015 08:30,0,0,0,0,0,0,0,0,0,0,-1, ,0,0
15/03/2015 09:00,0,0,1.162988,0.344563,0.218509,0.216624,0.217166,12.141464,4.856675,3.441828,0.955688,49.987606,-0.003961,-0.00122
15/03/2015 09:30,0,0,2.293938,0.74362,0.217474,0.215821,0.215794,17.317814,8.283976,5.407553,0.942041,50.077797,-0.006143,-0.002188
