Date/Time,kWh del int,kVARh del int,kWh rec int,kVARh rec int
13/10/2016 01:00:00.000,0.000000,0.000000,3.441952,2.807195
13/10/2016 01:30:00.000,0.000000,0.000000,2.900498,2.492809
13/10/2016 02:00:00.000,0.000000,0.000000,2.871105,2.451575
13/10/2016 02:30:00.000,0.000000,0.000000,2.980335,2.691278
13/10/2016 03:00:00.000,0.000000,0.000000,2.636370,2.333434
13/10/2016 03:30:00.000,0.000000,0.000000,2.383968,2.053085
13/10/2016 04:00:00.000,0.000000,0.000000,2.973193,2.598668
13/10/2016 04:30:00.000,0.000000,0.000000,2.815439,2.469347
13/10/2016 05:00:00.000,0.000000,0.000000,2.009906,1.744428
13/10/2016 05:30:00.000,0.000000,0.000000,2.174615,1.995128
13/10/2016 06:00:00.000,0.000000,0.000000,2.160809,2.125154
13/10/2016 06:30:00.000,0.000000,0.000000,1.443449,1.873460
13/10/2016 07:00:00.000,0.000000,0.000000,1.881558,2.270881
13/10/2016 07:30:00.000,0.000000,0.000000,1.918446,2.107088
13/10/2016 08:00:00.000,0.000000,0.000000,2.581793,2.430635
13/10/2016 08:30:00.000,0.000000,0.000000,1.383337,2.048711
13/10/2016 09:00:00.000,0.000000,0.000000,2.957361,3.007056
13/10/2016 09:30:00.000,0.000000,0.000000,2.096092,2.307725
13/10/2016 10:00:00.000,0.000000,0.000000,2.196312,1.917661
13/10/2016 10:30:00.000,0.000000,0.000000,2.622411,2.257276
13/10/2016 11:00:00.000,0.000000,0.000000,3.672661,3.276246
13/10/2016 11:30:00.000,401.778564,2.630475,0.195637,23.220966
13/10/2016 12:00:00.000,473.860962,31.055899,0.000000,9.073674
13/10/2016 12:30:00.000,471.036591,2.603328,0.000000,43.676140
13/10/2016 13:00:00.000,418.468842,52.764278,0.000000,1.271896
13/10/2016 13:30:00.000,382.852570,111.475143,0.000000,0.000000
13/10/2016 14:00:00.000,382.222443,93.075775,0.000000,70.909363
13/10/2016 14:30:00.000,382.481201,0.000000,0.000000,281.869812
13/10/2016 15:00:00.000,380.500732,0.000000,0.000000,284.840637
13/10/2016 15:30:00.000,378.602478,0.000000,0.000000,348.961487
13/10/2016 16:00:00.000,376.095978,0.000000,0.000000,395.004120
13/10/2016 16:30:00.000,374.768646,0.000000,0.000000,362.329803
13/10/2016 17:00:00.000,373.214783,0.000000,0.000000,372.969055
13/10/2016 17:30:00.000,366.253052,4.981724,0.000000,312.708069
13/10/2016 18:00:00.000,3.353050,0.995946,4.356882,4.148504
13/10/2016 18:30:00.000,0.000000,0.000000,4.899686,3.760734
13/10/2016 19:00:00.000,0.000000,0.000000,5.049102,3.533052
13/10/2016 19:30:00.000,0.000000,0.000000,4.478199,3.540760
13/10/2016 20:00:00.000,0.000000,0.000000,4.675561,3.448048
13/10/2016 20:30:00.000,0.000000,0.000000,4.506075,3.156588
13/10/2016 21:00:00.000,0.000000,0.000000,4.268687,3.166366
13/10/2016 21:30:00.000,0.000000,0.000000,3.592788,2.829783
13/10/2016 22:00:00.000,0.000000,0.000000,3.547588,3.072553
13/10/2016 22:30:00.000,0.000000,0.000000,3.201112,2.704609
13/10/2016 23:00:00.000,0.000000,0.000000,3.038654,2.484846
13/10/2016 23:30:00.000,0.000000,0.000000,3.336005,2.639479
14/10/2016 00:00:00.000,0.000000,0.000000,4.584898,3.254603
14/10/2016 00:30:00.000,0.000000,0.000000,4.066358,2.827494
