Date/Time,kWh del int,kVARh del int,kWh rec int,kVARh rec int,KV_R,KV_S,KV_T,I a,I b,I c,PF,Freq,MW,MVAR
30:00.0,0,0,0.615845,0.686969,0.227286,0.22968,0.227656,2.654104,2.536927,2.746754,0.671037,49.741749,-0.00113,-0.001249
00:00.0,0,0,0.567431,0.627413,0.229205,0.230889,0.229543,2.664185,2.533643,2.746466,0.670012,50.203365,-0.001137,-0.00126
30:00.0,0,0,0.568358,0.633448,0.22886,0.230577,0.229287,2.6637,2.530399,2.748785,0.669695,50.07114,-0.001135,-0.001259
00:00.0,0,0,0.570804,0.642017,0.228457,0.230762,0.228764,2.661721,2.538713,2.751473,0.668463,49.937977,-0.001133,-0.001261
30:00.0,0,0,0.567156,0.63404,0.228425,0.230638,0.229708,2.662959,2.529312,2.765899,0.665435,49.941498,-0.00113,-0.001268
00:00.0,0,0,0.565233,0.630637,0.228085,0.230355,0.228639,2.656843,2.530869,2.749727,0.669468,49.986996,-0.001131,-0.001255
30:00.0,0,0,0.566438,0.630384,0.228401,0.230046,0.228926,2.654812,2.51729,2.742278,0.668467,50.062645,-0.001126,-0.001253
00:00.0,0,0,0.565931,0.629413,0.227635,0.230046,0.228216,2.643049,2.520906,2.734913,0.672349,50.050613,-0.001128,-0.001242
30:00.0,0,0,0.565334,0.628344,0.228989,0.231349,0.229684,2.649356,2.534698,2.754159,0.666636,50.132477,-0.001131,-0.001265
00:00.0,0,0,0.567786,0.637384,0.22894,0.231876,0.229671,2.647766,2.540439,2.758665,0.66529,50.121067,-0.001131,-0.001269
30:00.0,0,0,0.566923,0.633374,0.227294,0.230052,0.227928,2.627976,2.518059,2.731095,0.668691,49.908951,-0.001119,-0.001244
00:00.0,0,0,0.565861,0.630181,0.228747,0.230788,0.229276,2.659378,2.534465,2.754298,0.668598,50.033146,-0.001134,-0.001262
30:00.0,0,0,0.56665,0.635289,0.228891,0.231479,0.230193,2.64917,2.526771,2.759069,0.663541,50.097633,-0.001127,-0.001271
00:00.0,0,0,0.566662,0.635936,0.229167,0.231097,0.229546,2.658256,2.531409,2.753054,0.663789,49.99482,-0.001127,-0.00127
30:00.0,0,0,0.569983,0.646538,0.229203,0.23123,0.229708,2.660835,2.536614,2.75607,0.667357,50.066395,-0.001135,-0.001267
00:00.0,0,0,0.569342,0.640054,0.229109,0.230986,0.230301,2.665815,2.531313,2.768839,0.66401,49.934093,-0.001132,-0.001275
30:00.0,0,0,0.570386,0.641758,0.229272,0.232097,0.230013,2.657695,2.548682,2.766862,0.664159,50.070248,-0.001135,-0.001277
00:00.0,0,0,0.569991,0.638331,0.229251,0.231686,0.23045,2.666714,2.540633,2.769301,0.667305,50.165058,-0.001141,-0.001273
30:00.0,0,0,0.568439,0.635339,0.22833,0.230829,0.229691,2.650441,2.527579,2.757506,0.666988,50.032425,-0.001131,-0.001263
00:00.0,0,0,0.566302,0.624977,0.227478,0.230459,0.228522,2.635082,2.535187,2.748305,0.671758,50.034843,-0.001132,-0.001249
30:00.0,0,0,0.565423,0.621465,0.227666,0.231295,0.229954,2.634722,2.538884,2.772111,0.667356,50.057167,-0.001133,-0.001265
00:00.0,0,0,0.568251,0.632881,0.227635,0.231355,0.230021,2.637866,2.545159,2.780385,0.6657,49.931938,-0.001133,-0.00127
30:00.0,0,0,0.569483,0.634812,0.227057,0.23003,0.228584,2.634202,2.535181,2.755617,0.671913,50.014954,-0.001132,-0.001248
