Date/Time,kWh del int,kVARh del int,kWh rec int,kVARh rec int,KV_R,KV_S,KV_T,I a,I b,I c,PF,Freq,MW,MVAR
04/11/2016 01:00:00.000,0.000000,0.000000,4.856458,5.638118,0.121095,0.121155,0.121079,45.452122,45.501480,45.172504,0.743460,49.935535,-0.012247,-0.011017
04/11/2016 01:30:00.000,0.000000,0.000000,4.745992,5.484898,0.121100,0.121218,0.121012,36.045494,36.971920,35.721832,0.624012,50.018345,-0.008208,-0.010278
04/11/2016 02:00:00.000,0.000000,0.000000,4.733560,5.420720,0.121230,0.121327,0.121065,37.113251,37.801437,37.623959,0.628598,49.948597,-0.008565,-0.010596
04/11/2016 02:30:00.000,0.000000,0.000000,4.762125,5.500481,0.121394,0.121512,0.121255,37.118702,37.352531,36.855255,0.624334,49.985325,-0.008428,-0.010544
04/11/2016 03:00:00.000,0.000000,0.000000,4.770447,5.538409,0.122034,0.122170,0.121918,37.316586,37.591183,37.129581,0.619549,50.051868,-0.008462,-0.010721
04/11/2016 03:30:00.000,0.000000,0.000000,4.762121,5.552853,0.122150,0.122279,0.122066,36.789074,37.720242,36.500542,0.621545,50.025661,-0.008419,-0.010611
04/11/2016 04:00:00.000,0.000000,0.000000,4.780491,5.606069,0.122060,0.122196,0.121956,37.428101,37.690044,37.269833,0.616595,49.940079,-0.008450,-0.010789
04/11/2016 04:30:00.000,0.000000,0.000000,4.798417,5.638138,0.121903,0.122042,0.121784,37.295639,37.580479,37.093342,0.619322,50.000088,-0.008444,-0.010705
04/11/2016 05:00:00.000,0.000000,0.000000,4.771234,5.555815,0.121531,0.121665,0.121400,37.178173,37.451073,36.939186,0.623574,49.987537,-0.008446,-0.010588
04/11/2016 05:30:00.000,0.000000,0.000000,4.739815,5.433683,0.120320,0.120386,0.120243,40.277687,41.032932,39.736122,0.695166,49.943287,-0.010022,-0.010363
04/11/2016 06:00:00.000,0.000000,0.000000,4.634527,5.257724,0.119589,0.119886,0.119616,35.849674,35.182255,34.899933,0.626835,49.994511,-0.007937,-0.009865
04/11/2016 06:30:00.000,0.000000,0.000000,4.208142,5.062527,0.119731,0.119866,0.119604,33.693630,33.755733,32.681862,0.598260,50.086441,-0.007169,-0.009602
04/11/2016 07:00:00.000,0.000000,0.000000,4.130021,5.058557,0.120247,0.120477,0.120247,33.167473,34.072468,32.245354,0.594461,50.056339,-0.007111,-0.009619
04/11/2016 07:30:00.000,0.000000,0.000000,4.263395,5.206730,0.120618,0.120799,0.120726,42.937996,42.519070,41.529484,0.729465,49.922638,-0.011175,-0.010479
04/11/2016 08:00:00.000,0.000000,0.000000,4.704802,5.287169,0.121229,0.121170,0.120999,34.908939,34.907162,33.424309,0.597982,50.021160,-0.007472,-0.010015
04/11/2016 08:30:00.000,0.000000,0.000000,4.447875,5.166522,0.119950,0.120127,0.120043,40.349422,35.707607,35.598202,0.673250,50.059826,-0.008997,-0.009881
04/11/2016 09:00:00.000,0.000000,0.000000,5.179233,5.213526,0.119868,0.119763,0.119902,41.654667,39.457230,34.475838,0.710252,49.937279,-0.009803,-0.009716
04/11/2016 09:30:00.000,0.000000,0.000000,4.833982,5.119807,0.119723,0.119841,0.119671,40.286095,34.067631,34.811611,0.667982,50.050552,-0.008695,-0.009687
04/11/2016 10:00:00.000,0.000000,0.000000,4.472998,5.097908,0.119663,0.119412,0.119560,35.738655,39.066265,32.401676,0.665272,49.974815,-0.008498,-0.009537
04/11/2016 10:30:00.000,0.000000,0.000000,5.313650,5.131930,0.119110,0.119056,0.119199,42.124714,39.441811,34.968365,0.718194,50.016376,-0.009935,-0.009626
04/11/2016 11:00:00.000,0.000000,0.000000,5.168316,5.110094,0.119147,0.118903,0.119011,35.930351,39.487362,32.901218,0.668842,49.972843,-0.008596,-0.009554
04/11/2016 11:30:00.000,0.000000,0.000000,5.335396,5.025088,0.118585,0.118442,0.118751,52.663139,48.752243,44.985516,0.806421,50.000660,-0.013963,-0.010239
04/11/2016 12:00:00.000,0.000000,0.000000,4.972241,4.998911,0.118352,0.118137,0.118216,35.879940,39.110222,33.145283,0.669232,49.944374,-0.008534,-0.009475
04/11/2016 12:30:00.000,0.000000,0.000000,4.976225,4.925475,0.117058,0.116907,0.117205,45.703770,47.344837,40.659485,0.774273,49.952160,-0.012092,-0.009883
04/11/2016 13:00:00.000,0.000000,0.000000,5.220673,4.769552,0.116870,0.116528,0.116900,62.053150,65.459015,58.296101,0.769811,49.963051,-0.016481,-0.013665
04/11/2016 13:30:00.000,0.000000,0.000000,5.267773,4.777737,0.115744,0.115755,0.115977,44.559311,41.270027,37.246971,0.773725,50.098957,-0.010899,-0.008924
04/11/2016 14:00:00.000,0.000000,0.000000,5.427069,4.701707,0.115409,0.115642,0.115974,57.784740,43.918598,46.077007,0.824722,49.968525,-0.013887,-0.009523
04/11/2016 14:30:00.000,0.000000,0.000000,6.624531,4.719560,0.115956,0.116183,0.116425,50.578671,38.719990,39.312431,0.796428,50.065056,-0.011762,-0.008931
04/11/2016 15:00:00.000,0.000000,0.000000,6.452036,4.839632,0.115994,0.116208,0.116424,49.627392,38.522690,38.640057,0.783769,50.007671,-0.011423,-0.009051
04/11/2016 15:30:00.000,0.000000,0.000000,6.292745,4.778228,0.115906,0.116059,0.116405,59.109554,47.239357,49.048702,0.843943,50.074600,-0.015120,-0.009611
04/11/2016 16:00:00.000,0.000000,0.000000,6.200752,4.911207,0.116218,0.116391,0.116581,50.714973,41.243748,39.618698,0.757606,50.023315,-0.011502,-0.009909
04/11/2016 16:30:00.000,0.000000,0.000000,7.044335,5.221399,0.117265,0.117407,0.117599,50.110504,41.910519,39.785572,0.744822,49.991096,-0.011446,-0.010254
04/11/2016 17:00:00.000,0.000000,0.000000,5.700312,4.877761,0.117125,0.117488,0.117380,45.906174,33.687679,37.298462,0.739392,50.007687,-0.010018,-0.009122
04/11/2016 17:30:00.000,0.000000,0.000000,4.328527,4.762039,0.118267,0.118311,0.118135,33.126900,33.780678,32.049366,0.619722,49.921833,-0.007245,-0.009175
04/11/2016 18:00:00.000,0.000000,0.000000,4.327264,4.847661,0.117323,0.117053,0.117010,105.313698,110.402176,107.992554,0.646555,49.944878,-0.014206,-0.016761
04/11/2016 18:30:00.000,0.000000,0.000000,4.739682,4.950236,0.117629,0.117741,0.117504,35.301338,36.390533,35.069969,0.666062,50.037369,-0.008350,-0.009351
04/11/2016 19:00:00.000,0.000000,0.000000,4.721291,4.940438,0.118514,0.118561,0.118463,39.951347,41.445953,39.382290,0.729760,49.946552,-0.010376,-0.009721
04/11/2016 19:30:00.000,0.000000,0.000000,4.741962,5.010701,0.117869,0.118051,0.117832,35.334751,36.544388,35.232895,0.662944,50.022350,-0.008359,-0.009440
04/11/2016 20:00:00.000,0.000000,0.000000,4.699447,4.922113,0.117359,0.117520,0.117303,35.074406,36.111217,34.991379,0.664792,50.008518,-0.008272,-0.009295
04/11/2016 20:30:00.000,0.000000,0.000000,4.666473,4.872873,0.117349,0.117738,0.117554,40.167301,35.860081,36.806690,0.699344,50.016216,-0.009250,-0.009454
04/11/2016 21:00:00.000,0.000000,0.000000,4.695712,4.888595,0.116883,0.117072,0.117056,42.154118,42.608925,41.263992,0.757564,49.968014,-0.011132,-0.009592
04/11/2016 21:30:00.000,0.000000,0.000000,4.649307,4.922686,0.117266,0.117459,0.117389,43.822750,44.216362,43.636364,0.765582,50.016068,-0.011823,-0.009935
04/11/2016 22:00:00.000,0.000000,0.000000,4.597586,4.803725,0.115447,0.115712,0.115514,35.464470,36.056263,35.349369,0.693173,50.017345,-0.008539,-0.008879
04/11/2016 22:30:00.000,0.000000,0.000000,4.615196,4.773086,0.117011,0.117268,0.117088,35.045837,35.658852,35.060917,0.658500,49.929890,-0.008148,-0.009312
04/11/2016 23:00:00.000,0.000000,0.000000,4.624128,4.925631,0.117620,0.117766,0.117609,34.570969,35.619076,34.306995,0.649574,49.848667,-0.007977,-0.009336
04/11/2016 23:30:00.000,0.000000,0.000000,4.639436,4.951345,0.117650,0.117773,0.117607,39.633213,40.427509,40.109055,0.722076,49.982708,-0.010144,-0.009719
05/11/2016 00:00:00.000,0.000000,0.000000,4.649510,4.987813,0.118300,0.118443,0.118245,35.623096,36.010529,35.453365,0.650753,50.013580,-0.008237,-0.009610
05/11/2016 00:30:00.000,0.000000,0.000000,4.689865,5.136235,0.119638,0.119755,0.119536,36.211906,36.533802,36.007874,0.640738,50.048294,-0.008328,-0.009979
