Date/Time,kWh del int,kVARh del int,kWh rec int,kVARh rec int
00:00.0,511.914764,0,0,57.186291
30:00.0,608.232117,0,0,57.656769
00:00.0,676.741882,0,0,75.765747
30:00.0,671.492065,0,0,90.038696
00:00.0,668.553528,0,0,129.766617
30:00.0,666.753357,0,0,145.571381
00:00.0,665.478882,0,0,148.730392
30:00.0,664.05835,0,0,126.265076
00:00.0,662.689453,0,0,76.557945
30:00.0,660.132629,37.600487,0,3.482884
00:00.0,656.968872,75.260109,0,0
30:00.0,675.349426,5.388526,0,41.534626
00:00.0,684.623535,0,0,107.834862
30:00.0,687.260132,0,0,186.285065
00:00.0,689.705505,0,0,191.77002
30:00.0,690.599487,0.060446,0,123.839241
00:00.0,11.899605,0.662541,4.102576,5.705487
30:00.0,0,0,3.911006,3.372747
00:00.0,0,0,4.833259,3.660092
30:00.0,0,0,4.799872,3.608169
00:00.0,0,0,4.310901,3.239051
30:00.0,0,0,4.311366,3.268346
00:00.0,91.442223,2.159961,4.01508,13.254012
30:00.0,670.291565,0.518506,0,28.033594
00:00.0,663.006897,0.685665,0,26.797043
30:00.0,660.968689,7.51483,0,13.575727
00:00.0,661.086121,0,0,47.868378
30:00.0,660.112183,0,0,62.488903
00:00.0,657.945862,0,0,94.769905
30:00.0,654.650513,0,0,128.568466
00:00.0,652.484497,0,0,158.663803
30:00.0,649.027283,0,0,134.90303
00:00.0,646.592712,0,0,72.83506
30:00.0,643.446655,0,0,107.807449
00:00.0,392.119843,2.45941,2.064619,67.559196
30:00.0,606.945435,1.930074,0,40.998749
00:00.0,656.753845,0,0,69.90229
30:00.0,652.84845,10.339583,0,17.269768
00:00.0,649.113953,39.473259,0,0
30:00.0,648.509766,1.157889,0,30.798826
00:00.0,647.307495,0.020662,0,12.25353
30:00.0,645.968384,0.402259,0,43.137737
00:00.0,642.794739,41.167492,0,28.344975
30:00.0,644.407104,0,0,158.938538
00:00.0,644.024231,0,0,204.653198
30:00.0,649.190918,0,0,173.96138
00:00.0,664.982971,0,0,94.691589
30:00.0,666.507202,0,0,94.743805
