Date/Time,kWh del int,kVARh del int,kWh rec int,kVARh rec int,KV_R,KV_S,KV_T,I a,I b,I c,PF,Freq,MW,MVAR
21/06/2016 00:30,473.757629,23.425024,0,1.289772,3.621124,3.617902,3.619147,85.750275,90.367889,91.945549,0.996768,49.975319,0.962948,0.077606
21/06/2016 01:00,479.687408,41.145424,0,0,3.616341,3.617599,3.613015,85.456017,90.152351,92.349373,0.993854,50.005596,0.95867,0.106784
21/06/2016 01:30,478.70697,40.225277,0,0,3.607593,3.604443,3.605336,84.940414,89.665092,91.274254,0.999548,49.935085,0.954034,0.028697
21/06/2016 02:00,477.141479,6.078307,0,0.014679,3.614093,3.611605,3.609704,84.773109,89.761223,91.129272,0.999986,49.976364,0.955226,0.005119
21/06/2016 02:30,477.290131,0.357393,0,5.669787,3.618867,3.618793,3.615676,84.378426,89.585213,90.747757,-0.999724,49.995144,0.953106,-0.022379
21/06/2016 03:00,476.997559,0,0,18.189342,3.626384,3.624968,3.624228,84.259018,89.595528,90.515862,-0.998276,50.024918,0.952398,-0.056004
21/06/2016 03:30,476.729797,0,0,24.150972,3.621394,3.617979,3.618084,84.515015,89.710197,90.847092,-0.999388,50.042881,0.954408,-0.033411
21/06/2016 04:00,476.544891,7.808089,0,4.971767,3.601043,3.601199,3.598471,84.96373,89.518616,91.708527,0.997804,49.94014,0.95194,0.063185
21/06/2016 04:30,476.561188,5.364351,0,25.57188,3.623464,3.623301,3.622107,84.91478,90.006714,90.855202,-0.995769,50.038067,0.954357,-0.088074
21/06/2016 05:00,476.427429,0,0,37.534344,3.617129,3.613811,3.614801,84.677132,89.486366,90.467438,-0.998076,49.854195,0.950523,-0.059055
21/06/2016 05:30,476.561218,0,0,52.695324,3.64469,3.641545,3.641148,85.237251,90.749916,90.990425,-0.984979,50.056862,0.95324,-0.16711
21/06/2016 06:00,475.568756,0,0,48.285248,3.632617,3.628054,3.629365,84.382591,89.761833,90.380547,-0.995164,50.067425,0.951114,-0.093878
21/06/2016 06:30,475.895172,0,0,69.986359,3.649401,3.647582,3.643716,85.358887,91.608276,91.846947,-0.977166,50.091396,0.953258,-0.207277
21/06/2016 07:00,475.37088,0,0,83.170296,3.61932,3.615732,3.615958,84.580093,89.436386,90.674164,-0.998955,49.908146,0.952152,-0.043558
21/06/2016 07:30,475.704285,0.114984,0,7.051809,3.610999,3.607726,3.606993,84.50045,89.295502,90.815041,0.999968,49.826962,0.950544,0.007653
21/06/2016 08:00,475.132996,13.411766,0,2.765877,3.623121,3.620665,3.620842,84.424599,89.221382,90.560966,-0.998179,50.107666,0.950595,-0.057439
21/06/2016 08:30,474.877258,8.276836,0,23.863474,3.636027,3.635542,3.636392,84.887741,89.622864,91.072639,-0.992217,50.139427,0.95342,-0.119654
21/06/2016 09:00,474.980743,2.100946,0,50.42033,3.614042,3.612887,3.612952,84.2285,88.55394,90.711288,0.999641,49.909809,0.946943,0.025392
21/06/2016 09:30,474.743286,19.341244,0,0.011867,3.624278,3.61224,3.620891,85.034035,89.025406,89.677116,-0.999993,49.987823,0.949765,-0.003481
21/06/2016 10:00,474.50058,2.351404,0,6.497138,3.618474,3.611918,3.61475,84.987701,89.112457,90.083054,0.999632,50.073505,0.949966,0.025793
21/06/2016 10:30,474.528168,9.521646,0,0.042826,3.625876,3.616752,3.619041,84.879829,89.665596,89.806305,-0.999956,50.104385,0.952212,-0.008984
21/06/2016 11:00,474.295532,8.792908,0,1.024492,3.619658,3.608479,3.611229,84.685791,89.388069,89.830933,0.998923,49.976254,0.947571,0.044006
21/06/2016 11:30,474.214539,20.294621,0,0,3.618947,3.607963,3.612421,84.892593,89.705055,89.960098,0.999218,50.020016,0.950141,0.037594
21/06/2016 12:00,474.19873,6.111627,0,0.03979,3.626233,3.612534,3.619842,84.693077,89.240768,89.488579,0.999958,49.974834,0.948454,0.00874
21/06/2016 12:30,474.238617,18.01086,0,0,3.616968,3.610734,3.610723,84.473495,89.138641,90.099113,0.998597,50.049435,0.946239,0.050181
21/06/2016 13:00,473.824646,8.351671,0,17.797022,3.641752,3.63922,3.635156,83.668457,89.34729,90.035904,-0.99673,49.919746,0.948342,-0.076885
21/06/2016 13:30,474.189331,0,0,56.926678,3.652273,3.647554,3.643436,83.759628,90.240372,90.420479,-0.992182,50.177601,0.951164,-0.11964
21/06/2016 14:00,474.036804,0,0,40.484722,3.632954,3.625524,3.622466,83.605881,89.350609,89.881271,-0.999652,49.998009,0.947555,-0.025009
21/06/2016 14:30,473.714417,28.251608,0,0.261726,3.618645,3.611203,3.6118,84.267136,89.441589,90.199791,0.999685,50.093922,0.948378,0.023818
21/06/2016 15:00,473.458221,14.872261,0,0,3.61414,3.607698,3.606921,84.452614,89.169182,90.459496,0.999088,50.032902,0.947421,0.040495
21/06/2016 15:30,473.766144,22.586756,0,0,3.608568,3.603812,3.604356,84.591423,89.231621,90.702583,0.998728,49.972012,0.947797,0.047853
21/06/2016 16:00,473.482544,26.418591,0,5.496123,3.625643,3.623881,3.620785,83.893982,89.06086,90.117104,-0.998164,49.975956,0.946692,-0.057448
21/06/2016 16:30,473.787262,0,0,44.19672,3.631557,3.622425,3.623461,84.47908,89.679901,89.812187,-0.99629,50.048191,0.948988,-0.081977
21/06/2016 17:00,473.52243,0,0,53.872398,3.640092,3.631839,3.632352,84.974083,90.328392,90.255768,-0.988389,50.07122,0.949516,-0.145971
21/06/2016 17:30,473.350006,0,0,79.600807,3.643593,3.636201,3.637793,85.204559,90.819664,90.461624,-0.981928,50.049351,0.947735,-0.182667
21/06/2016 18:00,473.339142,0,0,93.858559,3.638655,3.630871,3.632898,84.897522,90.375031,90.6315,-0.985927,50.04623,0.94816,-0.160772
21/06/2016 18:30,473.360504,3.966979,0,30.107895,3.603112,3.598281,3.597097,84.087013,89.110565,90.964027,0.999716,50.093155,0.946003,0.022569
21/06/2016 19:00,472.923492,3.849874,0,51.284855,3.622169,3.620831,3.618586,84.534157,90.334084,90.986809,-0.98852,49.886456,0.946754,-0.144708
21/06/2016 19:30,473.241058,0,0,71.904343,3.626294,3.627875,3.623861,84.580849,90.587112,90.981163,-0.98304,49.973434,0.943926,-0.176095
21/06/2016 20:00,472.916534,0,0,83.82515,3.623145,3.618753,3.62039,84.281883,89.778687,90.393074,-0.993005,49.988461,0.946226,-0.112513
21/06/2016 20:30,472.813721,0,0,52.787209,3.622636,3.620098,3.61778,84.20002,90.000786,90.506439,-0.992116,49.976479,0.946115,-0.119512
21/06/2016 21:00,472.340698,0,0,50.042828,3.608945,3.604885,3.605737,83.979507,89.423965,90.290337,-0.997466,49.9953,0.944092,-0.067337
21/06/2016 21:30,472.141663,0,0,34.496269,3.610361,3.608115,3.606994,83.989723,89.303185,90.206352,-0.996292,49.928452,0.942807,-0.081418
21/06/2016 22:00,471.822937,0,0,62.868137,3.628181,3.626137,3.625965,84.763306,90.180557,90.685608,-0.984284,50.010925,0.943617,-0.169297
21/06/2016 22:30,471.757996,0,0,84.363518,3.624206,3.619751,3.62325,84.506111,89.574768,90.216866,-0.990699,50.098896,0.944015,-0.129657
21/06/2016 23:00,471.273346,0,0,86.02623,3.643777,3.63854,3.639628,85.015717,90.53392,90.249428,-0.97737,49.961819,0.941307,-0.203731
21/06/2016 23:30,471.490936,0,0,81.950439,3.631979,3.629623,3.628949,84.024635,89.483551,89.991951,-0.990041,50.087257,0.942617,-0.134038
22/06/2016 00:00,470.845001,0,0,65.292892,3.638428,3.636486,3.636384,83.999252,89.675049,90.439484,-0.98743,50.152431,0.944014,-0.151107
