Date/Time,kWh del int,kVARh del int,kWh rec int,kVARh rec int,Vln a,Vln b,Vln c,I a,I b,I c,PF sign tot,Freq,kW tot,kVAR tot
04/11/2016 00:15:00.000,0.000000,0.000000,26.735466,17.263403,7925.035156,7962.820801,8011.875000,3.688015,3.991021,3.570122,-84.947021,49.962360,-75.972351,-47.189175
04/11/2016 00:30:00.000,0.000000,0.000000,18.909830,11.897086,7933.071289,7970.828613,8018.960938,3.640100,3.999233,3.501278,-84.156464,49.972355,-74.567673,-47.861107
04/11/2016 00:45:00.000,0.000000,0.000000,22.061802,14.190836,7932.639160,7970.371094,8017.923828,5.525704,5.983218,5.743763,-83.686043,49.962849,-115.032684,-75.246429
04/11/2016 01:00:00.000,0.000000,0.000000,24.640753,15.743102,7930.823242,7968.693848,8016.505859,3.695731,4.020992,3.518207,-84.849808,49.962013,-75.806915,-47.279892
04/11/2016 01:15:00.000,0.000000,0.000000,11.633281,8.762937,7934.690430,7973.415039,8020.008301,2.068264,2.233945,1.981898,-77.212570,49.925434,-38.523582,-31.705423
04/11/2016 01:30:00.000,0.000000,0.000000,17.498037,13.118679,7937.344727,7976.116699,8022.018066,5.776558,6.117334,5.762589,-81.205681,49.944744,-114.313797,-82.150742
04/11/2016 01:45:00.000,0.000000,0.000000,29.828705,19.777452,7945.248047,7983.438477,8029.837402,5.176847,5.676318,5.095999,-84.391174,49.984409,-107.314949,-68.221046
04/11/2016 02:00:00.000,0.000000,0.000000,18.975992,12.054355,7953.799805,7991.681152,8038.960938,3.644096,3.883425,3.645103,-84.335732,50.045113,-75.236145,-47.937428
04/11/2016 02:15:00.000,0.000000,0.000000,26.232103,17.065351,7960.997559,7998.739258,8046.749512,5.760320,6.096498,5.776744,-84.110420,50.062347,-118.606911,-76.270332
04/11/2016 02:30:00.000,0.000000,0.000000,20.631193,13.213990,7962.168945,8000.560547,8047.979492,3.586358,3.897058,3.538143,-84.323830,50.055622,-74.242981,-47.327740
04/11/2016 02:45:00.000,0.000000,0.000000,15.777555,10.624515,7962.895996,8001.624023,8049.038574,2.315710,2.587843,1.999776,-78.856110,50.025890,-43.209934,-33.697102
04/11/2016 03:00:00.000,0.000000,0.000000,19.425871,14.794351,7972.095703,8010.693848,8059.478027,2.097078,2.284303,2.036348,-75.937546,50.071926,-38.874332,-33.308540
04/11/2016 03:15:00.000,0.000000,0.000000,11.307141,8.414372,7967.048828,8005.192871,8053.369629,3.553577,3.906209,3.504873,-84.863640,49.969715,-74.362381,-46.351952
04/11/2016 03:30:00.000,0.000000,0.000000,21.166861,13.175719,7964.070313,8002.697266,8050.645508,5.638436,6.127815,5.636689,-84.289482,49.877872,-117.305252,-74.884102
04/11/2016 03:45:00.000,0.000000,0.000000,26.900196,17.201593,7960.553223,7998.758789,8047.275391,3.641177,4.024328,3.406986,-85.225510,49.983067,-75.258354,-46.194660
04/11/2016 04:00:00.000,0.000000,0.000000,18.373024,11.366590,7946.344238,7983.229492,8034.061035,3.643284,3.929107,3.576866,-85.356117,49.957787,-75.889114,-46.320839
04/11/2016 04:15:00.000,0.000000,0.000000,21.177235,13.297894,7927.915039,7963.317383,8015.024902,5.713158,6.180810,5.626726,-83.289902,49.957764,-116.143837,-77.172501
04/11/2016 04:30:00.000,0.000000,0.000000,19.043133,13.732735,7908.792480,7943.491211,7997.211914,2.018765,2.253324,2.014870,-77.173622,49.948093,-38.389622,-31.634645
04/11/2016 04:45:00.000,0.000000,0.000000,10.118082,7.948762,7871.706055,7905.543945,7960.789551,2.039429,2.307720,2.066001,-78.574440,49.918854,-39.684616,-31.240404
04/11/2016 05:00:00.000,0.000000,0.000000,19.295780,13.081386,7821.820801,7855.735840,7912.658691,5.739939,6.289115,5.699800,-83.822968,49.903660,-116.688644,-75.912773
04/11/2016 05:15:00.000,0.000000,0.000000,25.739685,16.492561,7815.077148,7853.660156,7901.968262,3.537314,3.871702,3.474674,-83.550545,49.989059,-71.303375,-46.893688
04/11/2016 05:30:00.000,0.000000,0.000000,18.343725,11.879457,7824.170898,7862.668945,7909.259766,3.423955,3.715248,3.454104,-84.339951,50.004601,-70.163757,-44.697762
04/11/2016 05:45:00.000,0.000000,0.000000,23.736473,15.274185,7820.677734,7852.597168,7909.172852,5.641503,6.062680,5.619355,-83.993073,50.076538,-114.266426,-73.829483
04/11/2016 06:00:00.000,0.000000,0.000000,22.369587,14.004852,7839.102051,7871.767090,7928.697754,4.022740,4.031477,4.154059,-85.255424,50.079960,-81.958542,-50.242805
04/11/2016 06:15:00.000,0.000000,0.000000,14.634119,10.489706,7852.179688,7886.584961,7939.130371,3.024469,3.345693,3.357593,-79.114357,50.060917,-60.598293,-46.848343
04/11/2016 06:30:00.000,0.000000,0.000000,24.852272,17.705744,7881.529297,7915.415527,7968.002441,5.311555,6.010581,6.124187,-81.475014,50.043560,-112.394730,-79.985054
04/11/2016 06:45:00.000,0.000000,0.000000,26.399242,16.799162,7876.816895,7912.536621,7961.999023,4.841887,5.625658,5.759000,-85.138008,49.923649,-109.069008,-67.199203
04/11/2016 07:00:00.000,0.000000,0.000000,28.558445,16.952896,7868.124512,7904.645996,7951.820801,5.147157,5.954146,5.988204,-85.962997,49.973866,-115.899445,-68.884300
04/11/2016 07:15:00.000,0.000000,0.000000,41.926422,25.092566,7860.469727,7895.923340,7943.599121,7.529080,8.451334,8.469749,-86.089409,50.035809,-166.033691,-98.125107
04/11/2016 07:30:00.000,0.000000,0.000000,31.821798,17.301516,7837.424805,7874.637207,7918.532227,5.603246,6.594989,6.566651,-88.028000,49.918175,-129.743988,-69.929611
04/11/2016 07:45:00.000,0.000000,0.000000,32.037292,17.496950,7799.296875,7834.914063,7879.687988,7.580690,8.577932,8.561491,-87.152245,49.989826,-168.586182,-94.853775
04/11/2016 08:00:00.000,0.000000,0.000000,38.525753,22.362499,7857.996582,7895.768555,7941.568848,4.330698,4.795866,5.087152,-86.047981,50.003441,-96.328079,-57.035233
04/11/2016 08:15:00.000,0.000000,0.000000,24.734568,14.071372,7837.589844,7875.974609,7920.543457,4.497667,5.139812,5.321851,-87.738541,49.910168,-103.092461,-56.374710
04/11/2016 08:30:00.000,0.000000,0.000000,29.985228,16.872688,7820.872559,7858.893066,7903.525391,8.192908,9.261912,9.262147,-87.039391,49.961876,-182.507614,-103.239151
04/11/2016 08:45:00.000,0.000000,0.000000,42.778099,23.295334,7835.345215,7873.625488,7919.851074,6.174417,7.072329,7.450178,-88.946671,50.080257,-144.559174,-74.273209
04/11/2016 09:00:00.000,0.000000,0.000000,37.375824,18.821470,7826.636719,7865.221191,7911.353027,6.524084,7.366394,7.698037,-89.295975,50.039272,-151.307327,-76.273262
04/11/2016 09:15:00.000,0.000000,0.000000,45.430595,23.536947,7810.399902,7847.901855,7895.541992,9.191355,10.558578,10.177006,-88.975204,50.006985,-208.712006,-107.069603
04/11/2016 09:30:00.000,0.000000,0.000000,45.151840,22.385656,7794.467285,7838.101074,7876.143066,6.643640,7.841343,7.651557,-90.068939,50.037140,-155.847931,-75.176010
04/11/2016 09:45:00.000,0.000000,0.000000,37.448181,17.788742,7795.742676,7846.342773,7881.670898,5.480028,6.611710,6.231637,-90.817352,50.033272,-130.058456,-59.946320
04/11/2016 10:00:00.000,0.000000,0.000000,38.486603,18.962605,7783.528320,7825.745117,7863.426758,7.322762,8.339000,8.410780,-89.125916,49.953629,-167.535828,-85.246315
04/11/2016 10:15:00.000,0.000000,0.000000,37.492439,17.357170,7759.185547,7802.024414,7839.004395,6.909559,8.674199,7.751874,-91.251099,49.933304,-165.311523,-74.104347
04/11/2016 10:30:00.000,0.000000,0.000000,42.421387,19.059050,7766.943359,7809.334961,7847.160156,7.088498,8.614361,7.950917,-91.137054,49.971519,-167.741211,-75.754112
04/11/2016 10:45:00.000,0.000000,0.000000,48.738235,23.722227,7750.124512,7792.774414,7831.897949,9.120775,10.710822,9.611128,-89.451668,50.041119,-204.651031,-102.274330
04/11/2016 11:00:00.000,0.000000,0.000000,44.645660,19.870182,7749.661133,7792.691895,7832.532227,8.007858,9.380278,8.192141,-92.421463,50.006172,-183.610001,-75.865265
04/11/2016 11:15:00.000,0.000000,0.000000,43.628712,18.690666,7738.856934,7782.729004,7822.235352,7.345701,8.597864,7.756230,-91.536522,49.904427,-168.347275,-74.047745
04/11/2016 11:30:00.000,0.000000,0.000000,47.620544,22.678499,7804.961914,7842.526367,7898.321777,7.842350,8.912531,8.026265,-90.473999,50.126896,-175.588638,-82.669594
