Date/Time,kWh del int,kVARh del int,kWh rec int,kVARh rec int,KV_R,KV_S,KV_T,I a,I b,I c,PF,Freq,MW,MVAR
22/09/2016 00:30,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 01:00,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 01:30,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 02:00,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 02:30,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 03:00,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 03:30,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 04:00,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 04:30,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 05:00,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 05:30,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 06:00,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 06:30,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 07:00,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 07:30,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 08:00,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 08:30,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 09:00,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 09:30,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 10:00,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 10:30,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 11:00,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 11:30,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 12:00,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 12:30,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 13:00,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 13:30,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 14:00,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 15:00,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 16:00,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 16:30,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 17:00,4.251841,14.523112,0,0, , , ,4.330144,4.278313,4.397023,0.282532,50.148769,0.012127,0.041175
22/09/2016 17:30,0.873905,2.991569,0,0.000823, , , ,0,0,0,-1, ,0,0
22/09/2016 18:00,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 18:30,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 19:00,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 19:30,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 20:00,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 20:30,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 21:00,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 21:30,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 22:00,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 22:30,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 23:00,0,0,0,0, , , ,0,0,0,-1, ,0,0
22/09/2016 23:30,0,0,0,0, , , ,0,0,0,-1, ,0,0
23/09/2016 00:00,0,0,0,0, , , ,0,0,0,-1, ,0,0
23/09/2016 00:30,0,0,0,0, , , ,0,0,0,-1, ,0,0
