Date/Time,kWh del int,kVARh del int,kWh rec int,kVARh rec int,KV_R,KV_S,KV_T,I a,I b,I c,PF,Freq,MW,MVAR
04/11/2016 00:30:00.000,3022.609375,0.000000,0.000000,186.071533,6.179523,6.163625,6.122509,562.900085,580.459106,559.292908,-0.997914,49.925198,6.036292,-0.390518
04/11/2016 01:00:00.000,3016.948730,484.110443,0.000000,33.012474,6.183247,6.170371,6.128737,568.642212,588.103943,570.002869,0.984014,50.020008,6.041673,1.093455
04/11/2016 01:30:00.000,3016.284424,533.098389,0.000000,0.000000,6.188995,6.176370,6.133455,565.169495,584.594849,566.601868,0.985867,49.921535,6.022006,1.023325
04/11/2016 02:00:00.000,3017.127441,498.315308,0.000000,0.000000,6.191272,6.179477,6.136367,563.584717,582.583130,564.679626,0.987475,49.992245,6.015084,0.961054
04/11/2016 02:30:00.000,3018.228027,405.382416,0.000000,0.000000,6.206241,6.194537,6.150824,560.903381,579.475891,561.218384,0.993266,50.061466,6.032005,0.703559
04/11/2016 03:00:00.000,3017.664551,352.442932,0.000000,0.000000,6.208910,6.194891,6.153222,561.070374,580.239136,561.064453,0.993943,50.035553,6.040625,0.667897
04/11/2016 03:30:00.000,3018.673828,330.207245,0.000000,0.000000,6.204994,6.191543,6.149747,562.033630,581.246399,562.232056,0.992194,49.924191,6.037605,0.758847
04/11/2016 04:00:00.000,3019.193359,398.626282,0.000000,0.000000,6.197127,6.183176,6.141640,564.199219,583.786072,565.042847,0.989134,49.986504,6.037618,0.897393
04/11/2016 04:30:00.000,3019.788086,511.629272,0.000000,0.000000,6.182275,6.167369,6.130074,569.187622,589.106140,569.571472,0.983117,49.955906,6.039004,1.123995
04/11/2016 05:00:00.000,3018.557617,686.372375,0.000000,0.000000,6.106239,6.092143,6.060443,577.725647,596.679565,576.314087,0.981441,49.937351,6.035663,1.179316
04/11/2016 05:30:00.000,3021.146240,482.505066,0.000000,0.000000,6.126378,6.113472,6.081178,573.485779,591.279724,570.645569,0.990252,49.985149,6.057411,0.852045
04/11/2016 06:00:00.000,3021.354004,412.517670,0.000000,0.000000,6.132055,6.123877,6.086263,569.953308,586.316589,567.652771,0.991985,50.050453,6.035339,0.768772
04/11/2016 06:30:00.000,3020.710938,297.335999,0.000000,0.000000,6.147809,6.140991,6.096069,565.831299,582.140991,565.201843,0.996090,50.057487,6.036722,0.535414
04/11/2016 07:00:00.000,3022.979004,172.055984,0.000000,0.000000,6.158844,6.152474,6.104901,565.089722,581.312439,564.606079,0.998344,49.926754,6.053049,0.348803
04/11/2016 07:30:00.000,3024.055908,155.329453,0.000000,0.000000,6.161148,6.158679,6.109750,566.118347,580.933228,565.060059,0.998917,50.020332,6.064721,0.282461
04/11/2016 08:00:00.000,3017.405762,752.609070,0.000000,0.000000,6.225321,6.225604,6.173559,572.054260,587.871887,574.568726,0.970170,50.069553,6.030239,1.506826
