Date/Time,kWh del int,kVARh del int,kWh rec int,kVARh rec int,LP-KV_A,LP-KV_B,LP-KV_C,I a,I b,I c,LP_PF,Freq,LP_MW,LP_MVAR
09/10/2016 00:30,25982.67383,645.308228,0,63.85767,17138,16911.28711,17262.48828,2154.182861,2132.547363,2182.725098, ,50.131466,51101.64063,-122.239632
09/10/2016 01:00,27543.51758,75.486893,0,43.749363,18238,18216.01758,18543.85938,2319.642822,2302.506592,2351.023682, ,50.111027,54948.70703,-508.840454
09/10/2016 01:30,27789.63281,125.670586,0,13.828772,19694,19633.5293,19959.01758,2495.45166,2481.608887,2531.342529, ,49.894527,59156.64844,-16.733637
09/10/2016 02:00,28495.50586,71.537239,0,44.31554,18420,18396.1543,18726.79883,2331.81543,2315.882813,2364.965576, ,50.089573,55481.14844,-319.381683
09/10/2016 02:30,26645.22656,10.548151,0,157.861389,15939,16430.39258,16767.78906,2071.982666,2052.591309,2100.687256, ,50.198875,49618.67188,-2.316993
09/10/2016 03:00,27034.10742,59.493946,0,53.417728,17118,17307.86328,17641.38086,2181.243164,2162.490723,2210.445801,99.99987,50.112202,52256.08594,85.022133
09/10/2016 03:30,27098.54688,571.036804,0,0.140375,18121,18048.25977,18377.13477,2268.678223,2251.463867,2299.539795,99.987663,49.97979,54449.31641,855.309875
09/10/2016 04:00,27163.42969,512.855408,0,0,18078,17985.72266,18311.60742,2258.656006,2240.992676,2288.613281,99.971848,50.241405,54254.85547,1287.60083
09/10/2016 04:30,26110.44531,543.117615,0,0.056034,19179,19169.43164,19495.06055,2421.6604,2404.364502,2452.692383,99.993111,50.190918,57799.65234,678.471436
09/10/2016 05:00,28972.90039,528.95929,0,0,19226,19222.80664,19551.82227,2441.671387,2420.871826,2469.061279,99.972229,50.108532,57981.30469,1366.702759
09/10/2016 05:30,28942.26367,550.09729,0,0,19094,19061.98633,19396.38477,2436.593018,2413.602783,2462.042725,99.987053,50.149509,57532.23438,925.783569
09/10/2016 06:00,26818.51953,493.094666,0,0.127529,11081,11505.79004,11861.55566,1493.008789,1456.223389,1503.029907,99.953278,50.029346,35043.25,1071.630493
09/10/2016 06:30,28499.55664,514.360718,0,1.199557,19530,19530.17969,19864.17188,2497.902832,2478.113281,2527.619873,99.994385,49.983383,58904.68359,624.307434
09/10/2016 07:00,26136.32813,511.099548,0,0.060537,11284,10757.41406,11119.90332,1392.736572,1356.031494,1403.555054,99.933502,50.111397,32795.33203,1196.594849
09/10/2016 07:30,16917.44727,568.312012,0,0,13080,12680.83398,13026.71973,1636.378296,1604.634888,1651.334961,99.86113,49.904667,38474.43359,2029.776367
09/10/2016 08:00,27591.60742,3842.950439,0,0,19814,19821.3418,20127.01172,2489.192139,2468.158447,2514,98.832085,49.909325,59077.52344,9109.039063
09/10/2016 08:30,28758.08984,4445.491699,0,0,19032,19002.80469,19316.16602,2387.113037,2363.106689,2408.673828,98.74556,50.020721,56640.625,9057.006836
09/10/2016 09:00,28949.0625,4549.260254,0,0,19888,19848.75781,20161.56445,2486.047607,2462.346924,2508.296875,98.675446,49.994019,59097.10156,9715.479492
09/10/2016 09:30,29098.80273,4994.634277,0,0,18780,18673.76953,18983.75195,2333.11499,2307.853027,2352.419189,98.338371,50.097534,55451.91797,10236.79883
09/10/2016 10:00,28778.81445,4984.067383,0,0,20012,19953.36133,20266.47266,2495.891113,2471.905762,2517.766602,98.533638,50.024296,59323.50781,10272.58594
09/10/2016 10:30,28616.83789,4885.63623,0,0,18793,18696.2832,18997.4082,2339.703857,2316.244629,2360.017334,98.563278,50.037273,55621.37891,9531.518555
09/10/2016 11:00,28762.90039,4930.660645,0,0,19503,19431.13477,19741.29688,2427.885742,2406.537842,2452.496094,98.541771,50.033733,57763.625,9974.075195
09/10/2016 11:30,28821.37695,4961.096191,0,0,19800,19695.64063,20008.19531,2459.848389,2439.061035,2485.729004,98.519394,50.018238,58526.07813,10184.72656
09/10/2016 12:00,28910.18164,4951.101563,0,0,19501,19455.43555,19765.86523,2421.841553,2402.699951,2449.205078,98.518394,49.904819,57803.23438,10062.39356
09/10/2016 12:30,28857.02148,4959.070313,0,0,18671,18535.98633,18857.4375,2309.33252,2286.353516,2333.005859,98.557152,50.135742,55157.71484,9472.650391
09/10/2016 13:00,27625.05859,4888.174316,0,0,19041,19040.8125,19357.41406,2370.692383,2350.17334,2397.04834,98.502121,49.997276,56588.82422,9906.179688
09/10/2016 13:30,28618.29102,4876.196777,0,0,19398,19458.91992,19773.35938,2426.750488,2406.195557,2453.019531,98.559258,49.964279,57852.42969,9928.021484
09/10/2016 14:00,28408.37109,4947.644043,0,0,18796,18699.04102,19037.78516,2336.121582,2312.033936,2361.036133,98.545509,50.006969,55653.30469,9597.09375
09/10/2016 14:30,28298.74414,4880.98584,0,0,19610,19571.25781,19912.91016,2441.775391,2419.709473,2470.002686,98.725586,49.984623,58314.84375,9400.09375
09/10/2016 15:00,28191.62891,4169.214355,0,0,17996,18107.70313,18435.75195,2259.239014,2239.462402,2287.655029,98.995705,50.100536,54111.94141,7727.325684
09/10/2016 15:30,20089.08008,3998.8479,0,0,13231,13208.53613,13531.25293,1657.050171,1629.675537,1673.928711,97.632957,50.045521,39111.03516,8664.34668
